email,order_entered,capacity,current_temperature_setting,energy_source
bcolla@golddex.com,1,12.8,100,electric
bcorbley@singletechno.com,1,37.1,NULL,electric
bcousey@treequote.com,3,31.9,NULL,electric
bdelasancha@warephase.com,4,33.0,118,electric
bdelasancha@warephase.com,6,60.1,NULL,heat pump
bdorshorst@plusstrip.com,1,12.3,100,heat pump
beschberger@stanredtax.com,2,57.2,177,electric
beschberger@stanredtax.com,3,13.6,145,electric
bfallick@funholding.com,3,17.6,NULL,electric
bfallick@funholding.com,4,36.7,111,gas
bfarrow@gogozoom.com,1,38.2,NULL,heat pump
bfishburne@donware.com,1,41.0,182,electric
bfishburne@donware.com,2,24.8,105,heat pump
bfortino@green-plus.com,2,19.9,116,thermosolar
bfrancescon@toughzap.com,2,78.0,108,gas
bfrancescon@yearin.com,2,17.0,121,electric
bfrankel@sunnamplex.com,3,53.6,113,gas
bfrankel@sunnamplex.com,6,24.1,102,gas
bfrankel@zencorporation.com,2,19.0,167,electric
bgiguere@bioholding.com,1,35.4,109,electric
bgiguere@zencorporation.com,1,17.4,171,gas
bglick@kinnamplus.com,1,54.5,128,electric
bglick@kinnamplus.com,2,82.4,105,heat pump
bglick@kinnamplus.com,3,11.2,103,thermosolar
bgochal@scotfind.com,11,53.0,NULL,gas
bgochal@scotfind.com,12,19.5,143,electric
bgochal@scotfind.com,15,50.1,107,electric
bgochal@year-job.com,1,59.5,93,gas
bheimann@zencorporation.com,1,12.7,102,electric
bheimann@zencorporation.com,3,16.7,NULL,electric
bhengel@mathtouch.com,1,17.6,111,electric
bhoneywell@gogozoom.com,2,52.0,180,gas
bhoneywell@gogozoom.com,4,20.9,118,thermosolar
bhoneywell@gogozoom.com,6,17.5,242,electric
bhoogland@finjob.com,2,11.9,211,electric
bjuvera@cancity.com,1,14.4,236,gas
bkampa@labdrill.com,2,65.5,110,thermosolar
bkannady@yearin.com,1,78.4,125,gas
bkeener@donware.com,1,79.9,NULL,electric
bkeener@groovestreet.com,1,40.9,109,gas
bkippley@cancity.com,1,17.8,251,electric
bkippley@labdrill.com,1,27.0,107,electric
bkoppinger@rangreen.com,4,19.4,NULL,electric
bkoppinger@rangreen.com,6,43.4,118,electric
bkoppinger@rangreen.com,7,43.1,119,electric
bkownacki@zencorporation.com,2,19.4,96,thermosolar
blipke@rundofase.com,6,10.3,107,gas
blipkin@donware.com,1,15.7,NULL,electric
blother@j-texon.com,1,32.5,123,electric
bluczki@domzoom.com,3,14.8,162,gas
blueckenbach@finhigh.com,5,113.4,99,gas
blungren@zotware.com,2,81.8,NULL,electric
bmaclead@streethex.com,1,17.2,NULL,electric
bmadarang@isdom.com,2,26.6,117,thermosolar
bmadarang@konmatfix.com,1,73.5,118,electric
bmadarang@konmatfix.com,3,31.1,112,thermosolar
bmastella@kan-code.com,1,37.0,110,gas
bmastella@kan-code.com,3,19.5,177,electric
bmclaird@hatfan.com,2,16.6,97,electric
bmirafuentes@plexzap.com,2,11.7,128,electric
bmulqueen@dalttechnology.com,1,45.0,158,gas
bmulqueen@dalttechnology.com,2,44.6,175,electric
bnievas@ontomedia.com,4,14.9,110,electric
bpagliuca@bioplex.com,1,35.1,113,gas
bpagliuca@bioplex.com,3,25.5,158,thermosolar
bpoullion@bioholding.com,3,57.4,119,thermosolar
bpugh@opentech.com,2,27.6,105,electric
brhymes@funholding.com,3,22.8,169,electric
brim@groovestreet.com,1,21.3,NULL,electric
briopelle@donquadtech.com,5,31.9,116,electric
bryser@zotware.com,1,70.1,186,electric
bsamara@konmatfix.com,2,75.0,206,electric
bsarbacher@newex.com,2,50.9,187,thermosolar
bschirpke@donquadtech.com,2,14.5,107,gas
bschirpke@goodsilron.com,2,10.1,176,electric
bscipione@silis.com,1,36.9,112,thermosolar
bshadrick@lexiqvolax.com,4,15.2,169,gas
bsimilton@opentech.com,1,47.1,NULL,heat pump
bsimilton@opentech.com,3,10.0,203,electric
bsimilton@opentech.com,4,52.1,NULL,gas
bsimilton@opentech.com,8,18.4,114,electric
bskulski@kinnamplus.com,3,16.7,NULL,electric
bskulski@kinnamplus.com,5,11.8,118,gas
bskulski@kinnamplus.com,9,18.5,108,gas
bslusarski@donquadtech.com,1,10.3,NULL,electric
bspickerman@domzoom.com,1,22.1,246,thermosolar
bsteffensmeier@y-corporation.com,4,11.9,NULL,gas
bsteffensmeier@y-corporation.com,5,39.7,199,gas
bsteier@fasehatice.com,1,94.5,96,gas
bsteier@fasehatice.com,3,10.4,NULL,electric
bstoltzman@green-plus.com,2,11.7,108,electric
bstoltzman@green-plus.com,3,55.9,101,thermosolar
bstoltzman@plusstrip.com,2,73.0,NULL,gas
bsuffield@finjob.com,1,46.1,96,thermosolar
bsuffield@finjob.com,2,13.7,166,gas
bsyrop@domzoom.com,4,35.0,109,gas
btjepkema@plussunin.com,1,51.0,NULL,thermosolar
btromblay@funholding.com,4,46.8,186,electric
bturinetti@zathunicon.com,2,38.4,113,electric
bvarriano@codehow.com,2,41.7,NULL,gas
bvenere@labdrill.com,1,13.8,118,electric
bvillanueva@funholding.com,4,36.3,102,electric
bvinning@hottechi.com,1,74.5,103,gas
bvinning@hottechi.com,3,33.1,120,gas
bvocelka@isdom.com,1,14.0,174,thermosolar
bweight@zoomit.com,1,44.3,105,electric
bweight@zoomit.com,3,14.9,157,thermosolar
bwenzinger@ontomedia.com,3,25.2,186,electric
bwenzinger@ontomedia.com,5,45.1,99,electric
bwenzinger@ontomedia.com,6,26.1,112,gas
bwide@lexiqvolax.com,1,16.2,105,gas
bwieser@nam-zim.com,6,79.8,102,gas
bwildfong@xx-zobam.com,3,18.9,110,electric
bwildfong@xx-zobam.com,4,91.8,149,gas
bwitten@green-plus.com,1,14.7,144,electric
bwitten@green-plus.com,6,44.1,150,heat pump
bwitten@green-plus.com,7,19.7,NULL,electric
byaw@xx-holding.com,1,19.9,NULL,electric
byori@golddex.com,1,45.5,111,thermosolar
bzagen@dambase.com,3,21.6,262,electric
cacuff@codehow.com,5,17.9,113,gas
cadkin@plusstrip.com,1,83.1,137,gas
cahle@fasehatice.com,3,33.8,94,electric
cahle@ontomedia.com,1,31.9,117,electric
calbares@rantouch.com,1,15.1,217,gas
calbares@zencorporation.com,2,52.4,199,thermosolar
camigon@lexiqvolax.com,2,61.2,129,electric
candreason@streethex.com,2,64.0,126,electric
cangalich@codehow.com,1,23.9,NULL,thermosolar
cangalich@xx-zobam.com,1,15.8,139,thermosolar
cbarfield@iselectrics.com,5,61.3,133,thermosolar
cbarfield@iselectrics.com,6,26.8,123,heat pump
cbatman@green-plus.com,2,29.6,257,electric
cbayless@silis.com,3,21.7,98,heat pump
cbayless@silis.com,4,38.5,98,thermosolar
cbeech@zencorporation.com,2,78.5,147,electric
cbennick@toughzap.com,3,15.9,140,gas
cbergesen@ron-tech.com,2,39.1,110,electric
cbergesen@ron-tech.com,4,52.0,90,thermosolar
cberlanga@groovestreet.com,1,19.0,95,electric
cberlanga@groovestreet.com,2,11.3,NULL,electric
cbevelacqua@plusstrip.com,1,32.9,100,gas
cblackwood@ontomedia.com,1,77.6,153,gas
cblackwood@ontomedia.com,3,10.5,143,gas
cbruschke@doncon.com,2,13.4,140,electric
cbruschke@doncon.com,3,36.1,90,electric
cbuemi@streethex.com,2,10.8,94,heat pump
cbuemi@streethex.com,3,15.5,100,gas
cburnard@opentech.com,3,19.6,154,electric
cbutzen@faxquote.com,1,39.0,109,thermosolar
cbutzen@faxquote.com,2,46.8,105,gas
cbutzen@inity.com,1,10.8,152,electric
cbuvens@sumace.com,1,18.6,106,gas
cbuzick@fasehatice.com,3,30.7,135,thermosolar
ccaldarera@iselectrics.com,1,87.9,98,gas
ccaldarera@iselectrics.com,2,42.4,102,thermosolar
ccalvaresi@rantouch.com,1,96.0,108,gas
ccalvaresi@rantouch.com,5,14.1,NULL,electric
ccalvaresi@rantouch.com,6,30.7,195,heat pump
ccampain@dambase.com,1,29.6,293,gas
ccandlish@rangreen.com,2,35.5,108,electric
cchickering@plexzap.com,3,89.9,108,electric
cchickering@rantouch.com,3,18.9,171,gas
cclaucherty@singletechno.com,2,38.6,101,electric
cclaucherty@singletechno.com,3,14.9,NULL,heat pump
ccorrio@zathunicon.com,1,27.6,204,gas
ccorrio@zathunicon.com,2,14.6,152,gas
ccoyier@lexiqvolax.com,3,11.0,217,electric
ccoyier@plexzap.com,1,75.6,118,thermosolar
ccoyier@plexzap.com,3,33.7,NULL,gas
ccoyier@plexzap.com,6,31.9,92,electric
ccrupi@golddex.com,3,48.5,124,gas
ccrupi@inity.com,2,39.2,139,electric
ccryer@betasoloin.com,4,85.5,117,thermosolar
ccryer@betasoloin.com,6,16.4,109,electric
ccryer@betasoloin.com,7,41.2,117,gas
cdallen@opentech.com,2,18.7,131,electric
cdallen@opentech.com,4,37.7,215,gas
cdallen@opentech.com,6,38.0,163,electric
cdallen@scotfind.com,1,29.3,NULL,electric
cdallen@singletechno.com,2,15.6,NULL,gas
cdallen@singletechno.com,6,35.9,NULL,thermosolar
cdaufeldt@scotfind.com,1,69.2,188,gas
cdaufeldt@scotfind.com,2,34.0,115,electric
cdegroot@newex.com,2,61.2,NULL,gas
cdegroot@newex.com,7,68.9,183,gas
cdegroot@newex.com,8,89.5,148,electric
cdegroot@newex.com,9,36.2,140,electric
cdelasancha@green-plus.com,1,15.3,184,electric
cdelasancha@streethex.com,6,42.8,117,gas
cdemesa@ron-tech.com,2,33.7,109,electric
cdevreese@streethex.com,3,19.9,132,heat pump
cdevreese@streethex.com,4,73.5,102,thermosolar
cdevreese@toughzap.com,2,70.1,143,electric
cdickerson@singletechno.com,5,52.5,138,electric
cdickerson@singletechno.com,6,14.7,225,thermosolar
cdickerson@singletechno.com,7,31.7,132,electric
cdickerson@singletechno.com,8,92.4,NULL,electric
cdickerson@singletechno.com,10,20.9,150,gas
cdinos@faxquote.com,3,53.7,NULL,thermosolar
cdiscipio@faxquote.com,2,37.2,112,electric
cdiscipio@y-corporation.com,2,46.0,167,gas
cdiscipio@y-corporation.com,3,14.3,NULL,thermosolar
cfarrow@cancity.com,2,17.6,90,electric
cfrancescon@donquadtech.com,1,47.9,194,electric
cfrankel@isdom.com,2,65.6,104,electric
cfrerking@rantouch.com,2,69.8,154,electric
cfrerking@rantouch.com,3,17.2,146,electric
cfrey@ron-tech.com,4,25.0,102,electric
cgehrett@fasehatice.com,3,30.4,171,electric
cgellinger@stanredtax.com,2,30.3,156,gas
cgellinger@stanredtax.com,3,19.4,96,gas
cgellinger@treequote.com,3,11.8,136,electric
cgellinger@zotware.com,1,47.7,106,gas
cgillian@ontomedia.com,3,47.9,101,gas
cglick@scotfind.com,6,17.3,177,gas
cgobern@sunnamplex.com,3,56.1,135,gas
cgochal@konex.com,4,45.9,NULL,electric
cgochal@sunnamplex.com,3,79.2,172,electric
cgreenbush@blackzim.com,1,46.6,128,gas
chalter@toughzap.com,2,45.5,110,electric
charnos@blackzim.com,3,14.4,260,electric
charnos@blackzim.com,4,14.4,126,gas
charoldson@condax.com,4,32.7,102,electric
charoldson@condax.com,5,25.9,NULL,electric
chauenstein@xx-zobam.com,1,77.3,91,gas
chauenstein@xx-zobam.com,3,46.2,91,gas
chauenstein@xx-zobam.com,5,84.6,154,electric
chauenstein@xx-zobam.com,6,41.2,NULL,electric
cheimann@silis.com,3,17.1,257,gas
cheimann@silis.com,4,17.2,118,gas
cheintzman@zumgoity.com,2,47.7,166,electric
chiatt@openlane.com,2,47.7,108,gas
chixenbaugh@dalttechnology.com,3,18.3,139,gas
chixenbaugh@yearin.com,1,29.1,NULL,electric
choneywell@dalttechnology.com,3,13.9,110,heat pump
choneywell@konex.com,2,46.5,170,gas
choneywell@konex.com,5,51.0,104,electric
choneywell@opentech.com,2,56.9,117,electric
choneywell@opentech.com,3,36.2,229,gas
choogland@bioplex.com,2,51.4,104,electric
choogland@isdom.com,2,25.3,114,heat pump
chusser@bioholding.com,3,12.7,101,electric
chusser@dambase.com,5,10.6,180,thermosolar
citurbide@gogozoom.com,2,14.2,218,electric
citurbide@ontomedia.com,2,31.0,188,electric
cjayson@domzoom.com,1,37.8,101,electric
cjayson@statholdings.com,1,14.9,166,gas
ckaniecki@hatfan.com,1,15.1,154,electric
ckannady@y-corporation.com,3,18.7,107,electric
ckarpel@singletechno.com,4,30.1,93,heat pump
cknipp@groovestreet.com,1,49.4,NULL,gas
cknipp@hottechi.com,1,46.3,151,electric
ckohl@dontechi.com,1,37.3,115,electric
ckohl@dontechi.com,2,32.2,157,thermosolar
ckoppinger@hottechi.com,1,15.0,109,gas
ckorando@labdrill.com,2,33.7,235,gas
ckorando@labdrill.com,5,60.5,91,gas
ckorando@labdrill.com,7,66.8,118,gas
ckulzer@silis.com,2,12.5,114,electric
clapage@zumgoity.com,3,43.8,NULL,electric
clayous@singletechno.com,2,15.7,118,gas
cleto@betatech.com,3,41.1,179,electric
cleto@betatech.com,4,58.6,NULL,gas
cliukko@inity.com,3,13.9,101,gas
cliukko@rantouch.com,6,24.6,NULL,electric
cloder@kan-code.com,1,37.1,164,electric
cloder@kan-code.com,2,45.2,146,electric
cmadarang@rundofase.com,4,66.3,96,electric
cmadarang@rundofase.com,5,17.1,NULL,electric
cmallett@j-texon.com,4,15.6,104,gas
cmarrier@conecom.com,3,20.0,107,gas
cmarrier@conecom.com,5,65.6,NULL,electric
cmarrier@year-job.com,1,32.6,115,electric
cmartabano@zencorporation.com,1,24.1,90,heat pump
cmastella@rantouch.com,2,65.5,119,gas
cmastella@rantouch.com,3,56.4,134,electric
cmatuszak@silis.com,2,11.9,103,electric
cmatuszak@silis.com,4,19.9,168,electric
cmatuszak@silis.com,5,54.0,104,gas
cmeteer@mathtouch.com,3,47.7,NULL,gas
cmodzelewski@stanredtax.com,3,51.5,113,electric
cmonarrez@gogozoom.com,1,62.0,117,electric
cmonarrez@golddex.com,1,80.0,141,electric
cmonarrez@golddex.com,2,27.0,120,electric
cmorasca@gogozoom.com,1,47.4,101,electric
cmulqueen@iselectrics.com,3,52.1,129,electric
cmunns@stanredtax.com,4,19.6,181,gas
cmyricks@faxquote.com,1,29.1,112,electric
cneither@betatech.com,2,21.2,106,electric
cnestle@stanredtax.com,1,39.1,91,gas
cnestle@stanredtax.com,4,12.5,175,electric
cnestle@stanredtax.com,5,41.8,142,gas
cnestle@xx-holding.com,2,13.1,176,thermosolar
cnestle@xx-holding.com,4,13.6,156,heat pump
cnewville@ron-tech.com,1,13.6,104,electric
cohms@toughzap.com,1,43.1,192,electric
cohms@toughzap.com,3,10.8,119,electric
coldroyd@scottech.com,4,42.5,107,gas
costrosky@isdom.com,2,11.2,145,electric
costrosky@isdom.com,3,26.0,NULL,electric
cpalaspas@y-corporation.com,2,36.7,152,electric
cpapasergi@golddex.com,2,75.0,144,electric
cpaskin@fasehatice.com,2,43.2,107,gas
cpaulas@gogozoom.com,1,17.0,111,electric
cpaulas@gogozoom.com,3,24.5,113,electric
cpaulas@warephase.com,1,44.7,102,thermosolar
cpaulas@warephase.com,2,53.1,118,electric
