email,order_entered,heating_seasonal_performance_factor,seasonal_energy_efficiency_rating
agillian@ron-tech.com,1,22.0,49.1
agillian@ron-tech.com,4,23.1,40.4
agleich@finjob.com,2,19.9,38.1
aglick@treequote.com,2,14.3,52.6
aglick@treequote.com,4,20.0,35.8
aglick@treequote.com,7,27.0,41.8
agochal@blackzim.com,2,20.3,38.4
agochal@toughzap.com,2,25.3,33.7
agochal@toughzap.com,3,27.8,37.3
agotter@isdom.com,4,20.4,35.5
agrenet@yearin.com,1,28.5,45.7
ahagele@dontechi.com,1,20.0,53.0
ahalsey@plussunin.com,2,26.1,37.4
ahalsey@plussunin.com,3,23.4,41.5
ahalter@sunnamplex.com,3,28.1,30.6
ahamilton@cancity.com,3,15.2,42.9
aharabedian@inity.com,1,19.2,49.0
aharabedian@inity.com,2,20.3,35.2
aharabedian@inity.com,3,28.8,55.4
aharnos@bioholding.com,1,26.3,40.2
ahengel@groovestreet.com,1,19.3,49.2
ahochard@hottechi.com,3,22.9,42.5
ahoffis@kan-code.com,1,27.0,38.2
ahoogland@zencorporation.com,2,22.0,47.9
ahoogland@zencorporation.com,3,17.3,38.9
ahoogland@zencorporation.com,4,22.7,54.5
ahoopengardner@iselectrics.com,3,31.2,33.7
ahoopengardner@kan-code.com,3,18.1,41.5
ahoopengardner@kan-code.com,5,20.5,37.9
ahoopengardner@kan-code.com,6,15.5,35.8
ahoopengardner@zotware.com,1,28.3,32.9
ahoopengardner@zumgoity.com,2,20.5,35.5
ahoopengardner@zumgoity.com,4,22.4,42.5
ahusser@toughzap.com,1,19.7,49.3
aisenhower@warephase.com,2,21.1,49.5
ajacobos@kan-code.com,2,25.4,36.0
ajeanty@gogozoom.com,1,18.8,53.1
ajeanty@gogozoom.com,3,25.7,38.4
ajeanty@zoomit.com,3,22.8,35.9
ajurney@silis.com,3,23.3,43.0
ajurney@silis.com,4,15.4,33.4
akaniecki@zathunicon.com,2,21.5,39.1
akaniecki@zathunicon.com,3,16.3,48.4
akardas@green-plus.com,1,24.4,32.2
akardas@green-plus.com,2,19.0,53.1
akarpin@faxquote.com,1,17.5,58.2
akarpin@faxquote.com,2,22.3,48.4
akarpin@faxquote.com,3,16.9,46.7
akarpin@singletechno.com,2,19.2,73.4
akarpin@singletechno.com,6,27.9,42.9
akarpin@singletechno.com,7,22.1,40.3
akeneipp@bioholding.com,1,23.4,28.7
akeneipp@bioholding.com,2,21.2,52.5
akeneipp@bioholding.com,3,21.8,40.2
aketelsen@ontomedia.com,1,27.8,37.7
aketelsen@ontomedia.com,2,23.8,33.1
aketelsen@ontomedia.com,3,27.9,46.2
akines@labdrill.com,2,25.5,50.3
akines@labdrill.com,3,22.4,34.1
akitty@fasehatice.com,1,22.3,43.8
akitty@zathunicon.com,1,24.8,44.6
akitty@zathunicon.com,2,18.2,44.3
akitty@zathunicon.com,4,23.8,39.8
aklimek@sonron.com,2,30.7,49.7
aklimek@sonron.com,3,19.0,37.9
aklonowski@donquadtech.com,1,25.0,40.0
aklonowski@donquadtech.com,2,17.1,25.1
aklonowski@donquadtech.com,3,19.0,61.2
akohl@hottechi.com,2,22.3,45.0
akolmetz@kinnamplus.com,1,21.9,44.4
akonopacki@golddex.com,1,20.4,34.8
akorando@doncon.com,2,22.9,28.7
akorando@finjob.com,2,24.5,53.0
akorando@finjob.com,4,16.4,51.4
akulzer@scotfind.com,1,17.7,44.7
alace@xx-holding.com,1,19.1,54.4
alace@xx-holding.com,3,15.0,35.0
alacovara@hatfan.com,1,22.4,30.9
alacovara@hatfan.com,2,22.2,48.9
alapage@ontomedia.com,2,26.4,48.4
alapage@ontomedia.com,4,25.8,38.3
alary@toughzap.com,1,24.3,34.8
alary@toughzap.com,4,21.9,34.2
alayous@dontechi.com,2,23.5,56.3
alayous@statholdings.com,3,23.0,40.9
aleinenbach@green-plus.com,1,25.8,27.9
aleinenbach@green-plus.com,2,23.4,50.3
aleinenbach@green-plus.com,3,20.4,29.9
alietz@j-texon.com,1,26.6,42.4
alietz@j-texon.com,3,23.1,55.1
alietz@j-texon.com,5,21.2,36.2
alietz@j-texon.com,6,26.4,30.8
alietz@j-texon.com,8,29.1,41.3
aliukko@hatfan.com,1,24.2,37.6
aliukko@hatfan.com,2,20.7,42.6
aloder@rundofase.com,3,20.3,44.1
alungren@faxquote.com,1,23.3,52.0
alungren@opentech.com,1,19.8,48.3
alungren@opentech.com,6,19.0,31.5
amai@warephase.com,2,27.5,46.5
amai@warephase.com,3,19.6,41.6
amaillard@plexzap.com,3,16.4,44.6
amallett@plussunin.com,3,26.4,44.9
amarrier@hatfan.com,1,26.2,58.2
amarrier@hatfan.com,2,22.0,55.3
amartabano@ron-tech.com,2,26.8,38.5
amartabano@ron-tech.com,3,19.4,43.7
amatuszak@dalttechnology.com,4,24.4,44.4
amaynerich@treequote.com,3,27.6,42.9
amcdoniel@faxquote.com,2,24.9,42.9
amcdoniel@faxquote.com,3,27.6,59.1
ameteer@betatech.com,2,16.0,49.2
ameteer@betatech.com,3,21.2,51.4
amiceli@funholding.com,2,25.2,47.0
amiceli@funholding.com,3,27.3,49.5
amirafuentes@finhigh.com,2,19.8,36.5
amirafuentes@newex.com,2,21.7,4.9
amiro@groovestreet.com,1,23.1,46.2
amiro@groovestreet.com,3,22.7,57.8
amonarrez@toughzap.com,1,22.8,37.1
amonarrez@toughzap.com,2,23.0,47.6
amonarrez@toughzap.com,3,23.8,43.6
amondella@funholding.com,4,17.1,42.4
amondella@funholding.com,6,21.3,30.9
amonterrubio@domzoom.com,1,25.1,53.8
amonterrubio@domzoom.com,3,19.6,45.3
amorocco@rantouch.com,1,24.9,52.0
amoyd@betatech.com,2,22.7,33.7
amugnolo@j-texon.com,1,28.9,36.9
amyricks@konmatfix.com,1,19.4,43.2
anewville@sunnamplex.com,2,24.9,24.2
anewville@sunnamplex.com,3,25.3,41.9
anewville@warephase.com,3,21.0,37.4
anicka@zotware.com,1,20.3,45.5
anicka@zotware.com,3,31.2,39.7
anievas@hottechi.com,3,18.2,41.4
aogg@warephase.com,2,27.9,42.8
aoles@blackzim.com,3,24.2,62.1
aonofrio@conecom.com,1,20.7,50.9
aonofrio@conecom.com,3,24.4,39.1
aostolaza@iselectrics.com,1,15.9,27.7
apadilla@iselectrics.com,1,23.0,33.1
apalaia@cancity.com,3,17.7,46.8
aparlato@doncon.com,1,21.2,44.3
aparvis@groovestreet.com,1,16.1,44.8
apoquette@faxquote.com,1,21.5,57.5
apoquette@faxquote.com,2,18.9,40.0
apoquette@faxquote.com,7,20.7,39.6
apoquette@goodsilron.com,2,19.1,35.8
apoquette@goodsilron.com,3,29.0,37.6
apoquette@goodsilron.com,6,26.7,64.2
apugh@lexiqvolax.com,3,20.3,37.8
aradde@scottech.com,1,17.0,46.8
arantanen@golddex.com,2,25.8,64.9
arantanen@singletechno.com,1,26.5,40.3
arantanen@singletechno.com,3,17.7,35.7
arauser@fasehatice.com,6,19.7,55.9
araymo@funholding.com,2,28.2,28.2
araymo@statholdings.com,1,22.4,41.9
aregusters@lexiqvolax.com,1,16.0,49.4
areiber@scottech.com,1,25.5,51.0
areiber@scottech.com,4,24.3,48.8
areiber@scottech.com,6,24.1,55.2
areiber@scottech.com,7,24.4,42.0
areiber@scottech.com,8,25.6,40.3
arhoden@zathunicon.com,1,18.4,52.5
arhoden@zathunicon.com,2,12.9,31.4
arochin@toughzap.com,3,27.6,34.0
arodefer@sumace.com,2,32.7,40.3
arodefer@sumace.com,5,12.2,40.0
arodefer@sumace.com,6,27.8,28.9
arowling@stanredtax.com,2,17.7,42.6
arulapaugh@zoomit.com,2,18.4,45.6
arulapaugh@zoomit.com,3,19.1,43.5
arulapaugh@zoomit.com,4,18.4,39.3
aryser@groovestreet.com,1,22.1,51.2
asama@zoomit.com,2,28.4,38.3
asama@zoomit.com,4,17.2,37.1
asaras@green-plus.com,3,23.1,32.2
asaras@green-plus.com,5,23.4,25.8
asaulter@codehow.com,1,17.3,38.6
asawchuk@hottechi.com,2,19.8,50.4
asaylors@golddex.com,1,23.6,48.0
asaylors@golddex.com,2,19.4,45.2
ascheyer@ontomedia.com,1,22.6,43.2
ascheyer@ontomedia.com,4,18.2,32.3
ascheyer@ron-tech.com,4,16.3,32.2
ascheyer@ron-tech.com,6,22.4,42.9
aschieler@ron-tech.com,1,25.1,38.5
aschieler@ron-tech.com,3,19.4,24.6
aschieler@ron-tech.com,4,25.2,19.6
aschieler@ron-tech.com,7,24.9,63.3
aschmaltz@scotfind.com,1,24.5,57.5
aschnitzler@fasehatice.com,3,27.5,39.9
aschoeneck@finjob.com,3,23.2,39.4
aseewald@conecom.com,4,24.8,44.3
aseewald@doncon.com,3,17.5,27.9
asergi@labdrill.com,1,17.1,37.5
asergi@labdrill.com,3,27.8,43.9
asergi@stanredtax.com,5,19.4,28.0
asilvestrini@sunnamplex.com,1,21.0,40.3
asilvestrini@sunnamplex.com,4,22.9,41.5
asilvestrini@sunnamplex.com,5,24.2,58.2
askulski@blackzim.com,2,22.9,53.2
askulski@blackzim.com,3,15.4,45.2
askulski@blackzim.com,4,23.5,52.0
askulski@ontomedia.com,1,15.6,55.4
askursky@j-texon.com,2,21.4,56.1
aspickerman@year-job.com,1,22.7,31.3
aspickerman@year-job.com,2,22.8,43.9
aspickerman@year-job.com,3,22.5,47.4
aspickerman@year-job.com,4,16.3,43.0
astaback@kinnamplus.com,4,26.3,38.4
astenseth@plusstrip.com,2,25.3,31.0
astenseth@plusstrip.com,4,23.8,38.4
astenseth@plusstrip.com,5,24.6,46.7
astenseth@plusstrip.com,6,19.1,40.2
astenseth@stanredtax.com,1,17.9,29.7
astenseth@stanredtax.com,2,16.3,47.1
astimmel@bioholding.com,3,23.3,26.3
astoltzman@zotware.com,2,21.6,31.9
astoltzman@zotware.com,3,20.9,40.2
astoltzman@zotware.com,8,15.4,47.6
astoltzman@zotware.com,9,24.9,49.3
asweigard@fasehatice.com,4,22.7,60.3
ategarden@treequote.com,1,19.7,42.5
ategarden@treequote.com,3,30.0,21.6
atheodorov@fasehatice.com,3,23.9,73.9
atheodorov@fasehatice.com,4,16.4,41.6
atreston@condax.com,3,22.9,46.9
atromblay@xx-holding.com,1,20.7,43.2
aturinetti@scotfind.com,2,19.9,46.9
aturinetti@scotfind.com,3,19.7,44.9
aturinetti@scotfind.com,5,22.8,60.8
aupthegrove@hatfan.com,6,23.7,32.4
avanausdal@streethex.com,2,27.1,55.4
avanausdal@streethex.com,3,29.6,49.0
avanheusen@finjob.com,3,25.5,53.1
avanheusen@finjob.com,5,23.0,41.3
avanheusen@finjob.com,6,25.7,42.8
avanheusen@finjob.com,7,19.2,51.7
avenere@fasehatice.com,3,21.2,55.6
awaycott@ganjaflex.com,1,22.4,44.6
awaycott@ganjaflex.com,2,26.3,37.4
awaycott@ganjaflex.com,3,25.8,21.0
awaycott@ganjaflex.com,4,22.8,54.9
aweight@cancity.com,2,20.3,44.9
aweight@cancity.com,4,25.9,30.3
awenner@bioplex.com,3,23.2,42.9
awhobrey@zathunicon.com,3,26.0,45.3
awiklund@gogozoom.com,1,20.2,42.8
awiklund@gogozoom.com,3,20.8,34.5
awiklund@gogozoom.com,6,23.5,34.1
aworlds@ganjaflex.com,2,22.1,47.4
aworlds@plussunin.com,3,16.7,59.9
aworlds@plussunin.com,5,20.1,46.1
aworlds@plussunin.com,7,24.3,45.8
aworlds@plussunin.com,8,33.9,50.8
aworlds@plussunin.com,10,22.9,55.1
aworlds@stanredtax.com,1,23.8,47.3
awrinkles@statholdings.com,1,22.1,46.7
azagen@plussunin.com,2,21.5,34.0
azane@zencorporation.com,2,16.5,28.0
azurcher@codehow.com,2,26.8,55.6
bagramonte@zumgoity.com,1,22.9,34.9
bagramonte@zumgoity.com,2,17.6,34.6
bahle@golddex.com,2,23.4,46.3
bahle@golddex.com,6,26.6,38.1
bahle@stanredtax.com,2,19.1,34.2
bahle@stanredtax.com,3,19.2,41.1
bahle@stanredtax.com,4,28.5,36.6
balbares@hatfan.com,3,23.5,36.7
barias@silis.com,2,29.8,32.4
basar@fasehatice.com,2,20.0,41.9
bbachman@y-corporation.com,1,23.4,53.7
bbayless@konex.com,2,28.1,51.5
bbeech@scottech.com,1,20.2,41.1
bbeech@scottech.com,2,20.2,25.3
bberganza@streethex.com,1,21.2,28.9
bberganza@streethex.com,2,21.7,38.2
bbergesen@groovestreet.com,1,20.9,65.6
bbergesen@groovestreet.com,2,20.6,53.7
bbergesen@groovestreet.com,3,21.0,37.8
bblackwood@rangreen.com,2,15.8,51.9
bblackwood@rangreen.com,3,23.2,61.6
bblackwood@rangreen.com,4,26.2,41.9
bblackwood@rangreen.com,9,19.2,41.5
bbowley@hatfan.com,1,28.8,43.0
bbowley@hatfan.com,3,25.6,40.7
bbreland@plusstrip.com,1,20.5,51.2
bbreland@plusstrip.com,2,25.8,31.3
bbreland@plusstrip.com,3,31.9,32.6
bbreland@plusstrip.com,4,12.1,36.8
bbrossart@konex.com,2,22.9,53.9
bbrossart@konex.com,5,16.4,15.7
bbruschke@cancity.com,2,15.8,31.2
bbubash@cancity.com,1,16.6,36.6
bbutt@bioholding.com,2,25.9,44.3
bcalvaresi@codehow.com,1,25.8,38.9
bcantres@donware.com,1,21.6,25.0
bcentini@hottechi.com,1,20.4,61.4
bcentini@hottechi.com,5,22.8,49.9
bcentini@hottechi.com,6,24.2,16.2
bcentini@hottechi.com,7,18.7,56.2
bcetta@singletechno.com,1,21.9,41.9
bcetta@singletechno.com,2,20.8,37.5
bcetta@singletechno.com,3,23.2,54.9
bchavous@kinnamplus.com,1,24.9,52.7
bchavous@statholdings.com,4,26.2,44.2
bcolla@golddex.com,2,19.2,50.5
bcolla@golddex.com,3,21.0,30.8
bcolla@mathtouch.com,2,23.4,51.5
bcolla@mathtouch.com,3,21.3,44.7
bcolla@mathtouch.com,4,26.9,45.2
bcorrio@sunnamplex.com,2,21.5,54.3
bcorrio@sunnamplex.com,4,22.9,35.5
bcousey@nam-zim.com,1,27.5,41.0
bcousey@nam-zim.com,6,20.2,33.6
bcousey@statholdings.com,2,21.3,46.9
bcousey@treequote.com,1,28.9,41.6
bcousey@treequote.com,2,24.8,25.5
bcoyier@labdrill.com,1,24.8,41.3
bcoyier@labdrill.com,2,26.4,51.1
bcoyier@labdrill.com,3,27.7,21.8
bdaufeldt@lexiqvolax.com,2,25.3,39.0
bdaufeldt@lexiqvolax.com,3,19.3,32.1
bdelasancha@warephase.com,1,25.8,49.5
bdevreese@streethex.com,1,23.8,40.3
bdewar@fasehatice.com,3,22.4,57.7
bdhamer@mathtouch.com,1,23.1,53.2
bdhamer@mathtouch.com,2,24.5,48.1
bdubaldi@newex.com,3,15.2,44.0
bdubaldi@newex.com,6,26.5,30.9
bdubaldi@newex.com,7,23.5,46.1
bdubaldi@newex.com,9,11.2,45.3
beanes@j-texon.com,1,17.7,50.2
beanes@j-texon.com,2,21.4,39.0
beanes@j-texon.com,3,26.1,50.6
bfallick@funholding.com,2,19.0,54.8
bfarrow@gogozoom.com,3,19.7,37.9
bfelger@silis.com,2,21.5,34.9
bfelger@silis.com,3,21.1,62.3
bfelger@year-job.com,4,16.0,27.3
bfern@dalttechnology.com,1,23.0,37.1
bfishburne@donware.com,3,31.3,63.0
bfortino@green-plus.com,1,23.2,50.6
bfrancescon@toughzap.com,3,21.4,44.8
bfrancescon@yearin.com,1,22.8,45.0
bfrankel@sunnamplex.com,2,19.5,52.6
bfrankel@sunnamplex.com,4,27.8,47.7
bfrankel@sunnamplex.com,5,25.6,45.8
bgiguere@bioholding.com,2,20.6,57.3
bgillaspie@dambase.com,1,23.7,54.6
bgillaspie@dambase.com,3,25.3,51.5
bgochal@scotfind.com,1,16.5,21.5
bgochal@scotfind.com,2,24.7,35.0
bgochal@scotfind.com,5,18.4,55.2
bgochal@scotfind.com,6,26.1,39.8
bgochal@scotfind.com,10,27.7,45.2
bgochal@scotfind.com,13,19.8,54.0
bgood@green-plus.com,1,18.4,39.2
bgood@green-plus.com,2,29.8,44.7
bgreenbush@cancity.com,3,23.9,41.2
bhagele@funholding.com,1,26.8,37.3
bhalter@rangreen.com,3,16.6,36.0
bhalter@rundofase.com,1,25.5,56.1
bharabedian@donquadtech.com,1,15.7,38.0
bharabedian@donquadtech.com,4,19.1,51.4
bheimann@zencorporation.com,2,21.2,44.2
bhiatt@ganjaflex.com,1,18.6,57.3
bhiatt@ganjaflex.com,2,22.6,38.3
bhiatt@ganjaflex.com,3,22.3,37.9
bhiatt@ganjaflex.com,4,24.2,46.7
bhirpara@openlane.com,1,22.3,44.0
bhoneywell@gogozoom.com,1,22.7,31.8
bhoogland@finjob.com,3,22.7,48.6
bhoogland@plussunin.com,1,23.1,46.5
bjuhas@hottechi.com,2,18.5,40.4
bjuhas@hottechi.com,3,20.7,43.8
bkalafatis@kinnamplus.com,3,21.6,49.1
bkampa@betatech.com,1,22.8,56.0
bkampa@betatech.com,2,23.5,45.9
bkampa@betatech.com,3,27.6,55.0
bkampa@labdrill.com,1,20.4,33.5
bkampa@labdrill.com,3,17.5,35.7
bkeener@donware.com,2,21.7,66.8
bkeener@donware.com,3,24.3,40.5
bkeener@j-texon.com,3,22.2,43.1
bkiel@stanredtax.com,1,17.4,35.7
bkiel@stanredtax.com,2,23.4,39.7
bkiel@stanredtax.com,3,30.5,47.3
bkippley@cancity.com,3,22.2,49.9
bkippley@groovestreet.com,2,25.7,33.9
bkoppinger@rangreen.com,1,15.2,52.2
bkownacki@zencorporation.com,3,18.2,33.1
blawler@plusstrip.com,1,27.2,31.8
bleinenbach@dontechi.com,1,25.4,38.0
blinahan@mathtouch.com,1,24.4,25.1
blinahan@mathtouch.com,2,25.8,66.9
blinahan@mathtouch.com,3,23.9,40.2
blipke@donware.com,2,26.7,40.7
blipke@rundofase.com,3,21.1,45.3
blipkin@donware.com,2,19.0,62.7
blipkin@donware.com,3,18.3,40.0
blizama@zathunicon.com,1,26.4,48.0
blizama@zathunicon.com,2,18.9,38.7
blizama@zathunicon.com,3,19.7,35.7
blother@j-texon.com,2,11.3,45.6
blother@j-texon.com,3,24.4,51.9
blouissant@blackzim.com,1,19.6,39.0
bluczki@domzoom.com,1,27.9,37.5
blueckenbach@finhigh.com,1,19.5,38.0
blueckenbach@finhigh.com,2,23.9,59.0
blueckenbach@treequote.com,2,21.1,48.7
blueckenbach@treequote.com,3,26.6,38.5
blungren@zotware.com,3,18.8,60.5
bmaclead@streethex.com,3,22.7,38.0
bmaclead@streethex.com,6,13.7,43.3
bmadarang@isdom.com,3,24.1,41.2
bmadarang@konmatfix.com,2,17.5,55.2
bmaynerich@faxquote.com,1,13.0,36.9
bmcnease@cancity.com,2,23.8,46.9
bmcnease@cancity.com,6,21.3,43.3
bmirafuentes@plexzap.com,3,28.5,54.1
bmulqueen@dalttechnology.com,4,19.5,30.9
bmunns@newex.com,3,23.2,51.9
bmyricks@green-plus.com,2,24.6,45.5
bmyricks@green-plus.com,3,24.5,38.1
bnestle@xx-holding.com,1,19.6,41.2
bnievas@iselectrics.com,2,20.3,41.8
bnievas@ontomedia.com,1,24.2,49.9
bnievas@ontomedia.com,2,17.3,72.7
bostrosky@codehow.com,1,26.1,32.7
bostrosky@codehow.com,2,23.3,30.9
bostrosky@codehow.com,4,26.3,38.5
bpadilla@zathunicon.com,2,25.1,37.9
bpagliuca@bioplex.com,2,15.5,33.3
bplumer@labdrill.com,1,19.7,43.3
bpugh@opentech.com,1,23.1,29.1
bpugh@opentech.com,6,21.4,55.6
bregusters@domzoom.com,1,27.5,39.7
bregusters@domzoom.com,2,29.7,40.0
bregusters@domzoom.com,3,21.2,21.9
brhymes@funholding.com,1,26.6,63.9
brhymes@funholding.com,2,18.0,45.6
bsamara@konmatfix.com,1,20.6,47.3
bsamara@konmatfix.com,3,21.1,43.6
bsaras@golddex.com,2,19.6,49.8
bsaras@golddex.com,4,19.4,49.2
bsarbacher@newex.com,1,24.8,35.6
bsayaphon@sunnamplex.com,2,22.7,41.6
bsayaphon@sunnamplex.com,4,19.4,30.4
bschirpke@donquadtech.com,3,20.1,58.5
bschirpke@goodsilron.com,1,16.4,26.7
bsergi@dontechi.com,2,23.2,48.3
bshadrick@lexiqvolax.com,1,21.7,44.3
bshields@yearin.com,1,25.6,30.1
bshields@yearin.com,2,19.7,50.3
bsimilton@opentech.com,7,23.9,42.9
bskulski@kinnamplus.com,4,23.0,50.3
bspringe@betatech.com,1,30.1,32.8
bspringe@betatech.com,2,19.0,42.9
bspringe@betatech.com,3,22.6,34.0
bsteffensmeier@y-corporation.com,2,21.8,37.1
bsteffensmeier@y-corporation.com,3,23.1,47.7
bstoltzman@green-plus.com,4,25.7,55.8
bstoltzman@green-plus.com,6,21.3,39.6
bstoltzman@plusstrip.com,1,24.8,48.9
bstoltzman@plusstrip.com,3,25.2,37.9
bsuell@inity.com,2,22.8,25.8
bsuell@inity.com,3,17.6,43.5
bsuell@plexzap.com,1,28.9,43.9
bsweigard@nam-zim.com,1,21.2,47.2
bsweigard@nam-zim.com,2,20.6,50.4
bsweigard@nam-zim.com,3,18.9,41.0
bsweigard@nam-zim.com,4,23.6,34.7
bsyrop@domzoom.com,1,28.2,42.6
bsyrop@domzoom.com,2,25.2,43.8
btollner@streethex.com,4,20.0,36.0
btomasulo@green-plus.com,1,18.1,34.0
btomasulo@green-plus.com,2,19.0,34.7
btomasulo@green-plus.com,4,27.2,42.1
btomasulo@green-plus.com,6,17.3,43.3
btromblay@funholding.com,2,31.2,22.4
bturinetti@zathunicon.com,3,18.2,68.8
bturinetti@zathunicon.com,4,13.0,32.5
bturinetti@zathunicon.com,5,25.6,48.9
bupthegrove@blackzim.com,1,15.7,25.1
bvillanueva@funholding.com,1,25.8,51.4
bvillanueva@funholding.com,2,18.9,38.1
bwardrip@fasehatice.com,1,20.4,45.5
bwardrip@fasehatice.com,2,23.8,38.6
bwardrip@fasehatice.com,3,19.6,28.8
bweirather@ganjaflex.com,1,26.5,37.0
bwenzinger@ontomedia.com,1,23.7,46.1
bwenzinger@ontomedia.com,4,19.0,34.6
bwieser@nam-zim.com,2,21.7,49.5
bwieser@nam-zim.com,3,21.6,55.2
bwieser@nam-zim.com,4,21.8,42.7
bwildfong@xx-zobam.com,1,18.4,34.9
bwildfong@xx-zobam.com,5,21.9,60.8
byum@finhigh.com,1,28.7,60.4
byum@finhigh.com,2,20.2,40.2
byum@finhigh.com,3,25.2,36.0
cacey@sonron.com,3,20.0,34.3
cacuff@codehow.com,1,22.5,34.4
cacuff@codehow.com,2,14.8,65.0
cacuff@codehow.com,3,23.9,47.5
cacuff@codehow.com,4,20.8,62.7
cacuff@fasehatice.com,1,22.9,30.7
cahle@fasehatice.com,1,23.5,60.0
cahle@fasehatice.com,2,23.9,42.9
cahle@newex.com,1,29.9,27.9
calbares@rantouch.com,3,24.0,30.0
calbares@zencorporation.com,4,21.6,49.9
camigon@plexzap.com,3,20.9,36.2
camyot@finhigh.com,1,17.0,38.1
candreason@streethex.com,1,20.9,36.9
cangalich@codehow.com,4,14.0,43.7
