email,order_entered,energy_source
amorasca@betatech.com,1,gas
amorocco@conecom.com,1,electric
amulqueen@silis.com,1,electric
amyricks@konmatfix.com,1,gas
amyricks@sonron.com,1,gas
anicka@zotware.com,1,electric
anievas@hottechi.com,1,electric
anievas@hottechi.com,2,electric
aogg@warephase.com,3,electric
aoles@blackzim.com,1,electric
aoles@blackzim.com,4,electric
aonofrio@yearin.com,1,electric
apalaia@cancity.com,2,electric
apalaia@cancity.com,4,electric
apalaia@hatfan.com,3,electric
aparlato@doncon.com,3,fuel oil
aparlato@doncon.com,4,electric
apedrozo@silis.com,2,electric
apedrozo@silis.com,4,gas
apelkowski@warephase.com,3,electric
aperez@sonron.com,3,electric
apoquette@faxquote.com,4,fuel oil
apoquette@faxquote.com,5,gas
apoquette@faxquote.com,6,electric
apoquette@goodsilron.com,1,electric
apoquette@goodsilron.com,4,electric
apoquette@goodsilron.com,5,gas
apugh@lexiqvolax.com,1,fuel oil
aradde@plussunin.com,1,electric
aradde@plussunin.com,4,electric
arantanen@golddex.com,1,electric
arantanen@golddex.com,3,electric
arantanen@singletechno.com,1,fuel oil
arantanen@singletechno.com,3,electric
arauser@fasehatice.com,2,gas
arauser@fasehatice.com,4,electric
arauser@fasehatice.com,5,electric
arauser@fasehatice.com,6,electric
araymo@funholding.com,1,gas
aregusters@lexiqvolax.com,3,fuel oil
areiber@scottech.com,6,electric
arestrepo@zumgoity.com,1,gas
arestrepo@zumgoity.com,3,gas
ariopelle@mathtouch.com,1,electric
arochin@toughzap.com,1,gas
arochin@toughzap.com,3,electric
arodefer@sumace.com,2,electric
arodefer@sumace.com,3,electric
arodefer@sumace.com,6,electric
arowling@stanredtax.com,3,electric
arulapaugh@zoomit.com,1,gas
asama@zoomit.com,1,gas
asama@zoomit.com,3,electric
asaras@green-plus.com,2,gas
asaras@green-plus.com,5,electric
asaras@green-plus.com,6,gas
asawchuk@hottechi.com,2,gas
asaylors@golddex.com,3,electric
asaylors@rantouch.com,3,electric
asaylors@sunnamplex.com,2,gas
asaylors@sunnamplex.com,3,gas
ascheyer@ontomedia.com,2,gas
ascheyer@ontomedia.com,4,gas
ascheyer@ron-tech.com,6,electric
aschieler@ron-tech.com,1,gas
aschieler@ron-tech.com,3,electric
aschieler@ron-tech.com,6,gas
aschmaltz@scotfind.com,1,electric
aschmaltz@zencorporation.com,2,electric
aschoeneck@finjob.com,2,electric
aschoeneck@finjob.com,3,gas
aschoeneck@scottech.com,1,electric
aschoeneck@scottech.com,2,electric
ascriven@hatfan.com,1,electric
aseewald@conecom.com,2,gas
aseewald@conecom.com,4,electric
asengbusch@fasehatice.com,4,electric
asilvestrini@plussunin.com,1,electric
asilvestrini@sunnamplex.com,1,gas
asilvestrini@sunnamplex.com,3,electric
asimilton@plussunin.com,2,gas
askulski@blackzim.com,3,fuel oil
askursky@j-texon.com,1,gas
askursky@j-texon.com,3,electric
aslusarski@iselectrics.com,1,electric
astenseth@ontomedia.com,1,electric
astenseth@plusstrip.com,3,electric
astenseth@plusstrip.com,6,electric
astenseth@stanredtax.com,3,electric
astimmel@bioholding.com,1,electric
astoltzman@domzoom.com,1,fuel oil
astoltzman@domzoom.com,2,electric
astoltzman@zotware.com,2,electric
astoltzman@zotware.com,4,electric
astoltzman@zotware.com,8,electric
astorment@statholdings.com,1,electric
asweigard@fasehatice.com,3,fuel oil
atheodorov@fasehatice.com,2,gas
atheodorov@fasehatice.com,3,electric
atheodorov@fasehatice.com,4,gas
atoelkes@dontechi.com,1,gas
atolfree@plexzap.com,1,gas
atromblay@xx-holding.com,3,electric
aturinetti@scotfind.com,2,electric
aturinetti@scotfind.com,3,fuel oil
aturinetti@scotfind.com,6,gas
aupthegrove@fasehatice.com,1,electric
aupthegrove@hatfan.com,1,electric
aupthegrove@hatfan.com,5,gas
auyetake@sonron.com,1,electric
avanheusen@finjob.com,1,gas
avanheusen@finjob.com,2,gas
avanheusen@finjob.com,7,electric
avenere@fasehatice.com,1,electric
avenere@fasehatice.com,2,gas
awaycott@ganjaflex.com,1,electric
awaycott@ganjaflex.com,3,electric
aweight@cancity.com,1,gas
awiklund@gogozoom.com,1,electric
awiklund@kan-code.com,1,fuel oil
awildfong@faxquote.com,1,electric
awildfong@faxquote.com,3,gas
aworlds@ganjaflex.com,2,electric
aworlds@plussunin.com,3,electric
aworlds@plussunin.com,4,gas
aworlds@plussunin.com,9,electric
aworlds@plussunin.com,11,electric
aworlds@plussunin.com,12,gas
aworlds@stanredtax.com,3,electric
aworlds@stanredtax.com,4,gas
aworlds@stanredtax.com,6,electric
azagen@plussunin.com,4,gas
azane@zencorporation.com,2,electric
azane@zencorporation.com,3,fuel oil
azepp@zencorporation.com,1,electric
azurcher@codehow.com,1,gas
azurcher@codehow.com,2,electric
azurcher@codehow.com,3,electric
bacuff@groovestreet.com,2,electric
bagramonte@zumgoity.com,4,electric
bahle@golddex.com,4,electric
bahle@golddex.com,5,gas
balbares@hatfan.com,1,electric
bangalich@xx-zobam.com,1,gas
bangalich@xx-zobam.com,2,electric
bbachman@y-corporation.com,2,gas
bbayless@konex.com,1,electric
bbeech@scottech.com,3,gas
bbeech@scottech.com,6,gas
bbenimadho@dalttechnology.com,3,electric
bbenimadho@dalttechnology.com,4,electric
bbenimadho@funholding.com,1,fuel oil
bberganza@streethex.com,1,gas
bbilden@domzoom.com,1,gas
bblackwood@rangreen.com,1,electric
bblackwood@rangreen.com,5,electric
bblackwood@rangreen.com,7,fuel oil
bblackwood@rangreen.com,8,electric
bblackwood@rangreen.com,10,electric
bblackwood@rangreen.com,12,electric
bbowley@hatfan.com,1,fuel oil
bbowley@hatfan.com,2,electric
bbreland@plusstrip.com,2,fuel oil
bbrossart@konex.com,6,electric
bbruschke@cancity.com,1,electric
bbruschke@cancity.com,3,gas
bbutt@bioholding.com,1,gas
bbutt@bioholding.com,4,electric
bcampain@gogozoom.com,1,electric
bcanlas@donware.com,1,fuel oil
bcanlas@donware.com,3,fuel oil
bcantres@donware.com,3,gas
bcantres@donware.com,4,gas
bcentini@hottechi.com,2,electric
bcentini@hottechi.com,7,gas
bcetta@singletechno.com,1,fuel oil
bchaffins@hottechi.com,1,electric
bchavous@statholdings.com,1,electric
bchavous@statholdings.com,4,electric
bchickering@scotfind.com,1,gas
bcolla@golddex.com,3,gas
bcorbley@singletechno.com,2,electric
bcorrio@sunnamplex.com,1,electric
bcousey@nam-zim.com,2,electric
bcousey@nam-zim.com,3,electric
bcousey@nam-zim.com,4,electric
bcousey@nam-zim.com,5,electric
bcousey@statholdings.com,1,electric
bcousey@treequote.com,2,electric
bdaufeldt@lexiqvolax.com,1,gas
bdelasancha@warephase.com,1,electric
bdelasancha@warephase.com,3,electric
bdelasancha@warephase.com,5,gas
bdewar@fasehatice.com,1,electric
bdewar@fasehatice.com,2,electric
bdhamer@mathtouch.com,1,gas
bdhamer@mathtouch.com,3,electric
bdorshorst@plusstrip.com,2,gas
bdorshorst@plusstrip.com,3,electric
bdubaldi@newex.com,4,electric
bdubaldi@newex.com,8,gas
bdubaldi@newex.com,9,electric
bdubaldi@newex.com,11,electric
bdubaldi@newex.com,12,electric
beanes@j-texon.com,1,gas
beanes@y-corporation.com,1,gas
bennaco@dalttechnology.com,1,gas
bestell@condax.com,1,gas
bfallick@funholding.com,1,fuel oil
bfeichtner@goodsilron.com,1,gas
bfelger@silis.com,1,gas
bfelger@silis.com,3,electric
bfelger@year-job.com,3,electric
bfishburne@donware.com,3,gas
bfortino@green-plus.com,1,fuel oil
bfortino@green-plus.com,4,electric
bfrancescon@finhigh.com,1,gas
bfrancescon@toughzap.com,1,electric
bfrankel@sunnamplex.com,1,gas
bfrankel@sunnamplex.com,5,fuel oil
bgiguere@bioholding.com,2,electric
bgiguere@bioholding.com,3,electric
bgochal@scotfind.com,4,electric
bgochal@scotfind.com,7,gas
bgochal@scotfind.com,8,electric
bgochal@scotfind.com,9,electric
bgochal@scotfind.com,16,fuel oil
bgochal@year-job.com,3,gas
bgood@green-plus.com,3,electric
bgreenbush@cancity.com,2,gas
bgreenbush@cancity.com,3,electric
bhagele@plexzap.com,1,gas
bhalter@rangreen.com,1,electric
bhalter@rangreen.com,2,electric
bhalter@rangreen.com,3,electric
bhalter@rangreen.com,4,electric
bharabedian@donquadtech.com,3,gas
bheimann@zencorporation.com,2,fuel oil
bhiatt@ganjaflex.com,1,gas
bhiatt@ganjaflex.com,3,gas
bhiatt@ganjaflex.com,4,electric
bhirpara@openlane.com,1,electric
bhoneywell@gogozoom.com,1,gas
bhoneywell@gogozoom.com,3,gas
bhoneywell@gogozoom.com,5,electric
bhoogland@finjob.com,1,gas
bjuhas@hottechi.com,1,electric
bjuhas@hottechi.com,2,electric
bjulia@bioplex.com,1,electric
bkalafatis@kinnamplus.com,2,electric
bkeener@donware.com,2,fuel oil
bkeener@j-texon.com,1,electric
bkeener@j-texon.com,4,electric
bkippley@cancity.com,2,electric
bkippley@groovestreet.com,1,electric
bkippley@groovestreet.com,2,gas
bkohl@yearin.com,1,gas
bkohl@yearin.com,2,gas
bkohl@yearin.com,3,gas
bkoppinger@rangreen.com,2,electric
bkoppinger@rangreen.com,3,electric
bkoppinger@rangreen.com,5,electric
blary@year-job.com,1,electric
blawler@plusstrip.com,1,electric
bleinenbach@dontechi.com,1,gas
blinahan@mathtouch.com,4,fuel oil
blipke@donware.com,1,fuel oil
blipke@donware.com,3,gas
blipke@rundofase.com,2,gas
blipke@rundofase.com,5,gas
blizama@zathunicon.com,2,gas
blouissant@blackzim.com,1,electric
bluczki@domzoom.com,1,electric
bluczki@domzoom.com,2,gas
blueckenbach@finhigh.com,1,gas
blueckenbach@finhigh.com,6,electric
blueckenbach@treequote.com,4,electric
blungren@zotware.com,3,electric
bmaclead@streethex.com,2,electric
bmaclead@streethex.com,4,fuel oil
bmadarang@konmatfix.com,4,gas
bmastella@kan-code.com,2,electric
bmaynerich@faxquote.com,1,gas
bmclaird@hatfan.com,3,gas
bmcnease@cancity.com,1,gas
bmcnease@cancity.com,3,electric
bmcnease@cancity.com,5,fuel oil
bmcnease@cancity.com,6,electric
bmcnease@silis.com,1,electric
bmirafuentes@plexzap.com,1,gas
bmulqueen@dalttechnology.com,5,gas
bmulqueen@dalttechnology.com,6,gas
bmunns@newex.com,1,gas
bmyricks@green-plus.com,1,gas
bnestle@xx-holding.com,1,electric
bnievas@iselectrics.com,1,electric
bnievas@iselectrics.com,2,gas
bnievas@iselectrics.com,3,gas
bnievas@ontomedia.com,5,electric
bpadilla@zathunicon.com,3,electric
bparlato@streethex.com,1,electric
bpedrozo@kan-code.com,2,electric
bpugh@opentech.com,3,gas
bpugh@opentech.com,6,electric
briopelle@donquadtech.com,1,gas
briopelle@donquadtech.com,2,electric
briopelle@donquadtech.com,3,electric
briopelle@donquadtech.com,4,gas
briopelle@donquadtech.com,6,gas
bruta@faxquote.com,1,gas
bryser@zotware.com,2,gas
bsaras@golddex.com,1,gas
bsarbacher@newex.com,3,electric
bsayaphon@sunnamplex.com,1,electric
bsayaphon@sunnamplex.com,2,gas
bsayaphon@sunnamplex.com,4,gas
bschirpke@donquadtech.com,1,fuel oil
bschirpke@donquadtech.com,3,electric
bschirpke@donware.com,1,electric
bschirpke@donware.com,2,gas
bschirpke@donware.com,3,gas
bschirpke@goodsilron.com,3,gas
bscipione@donquadtech.com,1,electric
bscipione@silis.com,2,gas
bshadrick@lexiqvolax.com,1,electric
bsimilton@opentech.com,5,electric
bsimilton@opentech.com,6,electric
bskulski@kinnamplus.com,6,gas
bskulski@kinnamplus.com,8,gas
bsteffensmeier@y-corporation.com,1,electric
bsteffensmeier@y-corporation.com,2,gas
bsteffensmeier@y-corporation.com,6,electric
bsteffensmeier@y-corporation.com,7,electric
bsteier@fasehatice.com,2,electric
bstimmel@inity.com,1,gas
bstoltzman@green-plus.com,1,electric
bsuell@inity.com,1,electric
bsuffield@finjob.com,3,electric
bsweigard@nam-zim.com,1,gas
bsweigard@nam-zim.com,2,fuel oil
bsyrop@domzoom.com,1,gas
bsyrop@domzoom.com,2,electric
bsyrop@domzoom.com,3,gas
bsyrop@domzoom.com,5,gas
btillotson@sonron.com,1,gas
btollner@streethex.com,2,fuel oil
btollner@streethex.com,4,electric
btollner@streethex.com,5,gas
btollner@streethex.com,6,gas
btomasulo@green-plus.com,1,electric
btomasulo@green-plus.com,5,gas
btreston@ron-tech.com,1,gas
btromblay@funholding.com,1,electric
bturinetti@zathunicon.com,1,electric
bupthegrove@blackzim.com,1,fuel oil
bwalthall@statholdings.com,1,electric
bweirather@ganjaflex.com,1,gas
bwenzinger@ontomedia.com,2,electric
bwenzinger@ontomedia.com,4,fuel oil
bwieser@nam-zim.com,7,electric
bwitten@green-plus.com,2,gas
bwitten@green-plus.com,4,electric
bwitten@green-plus.com,5,gas
bzagen@dambase.com,2,fuel oil
cacey@sonron.com,2,electric
cacey@sonron.com,4,gas
cacuff@codehow.com,3,gas
cahle@ontomedia.com,2,electric
cahle@ontomedia.com,3,electric
calbares@zencorporation.com,1,fuel oil
calbares@zencorporation.com,4,electric
camigon@lexiqvolax.com,1,gas
camigon@plexzap.com,2,gas
camyot@finhigh.com,1,electric
cangalich@codehow.com,2,gas
cangalich@codehow.com,3,gas
cangalich@xx-zobam.com,2,fuel oil
carceo@bioplex.com,1,fuel oil
carceo@bioplex.com,2,gas
carceo@bioplex.com,3,electric
caredondo@konmatfix.com,1,electric
cauffrey@fasehatice.com,1,electric
cauffrey@hottechi.com,1,gas
cbarfield@fasehatice.com,1,electric
cbarfield@iselectrics.com,3,gas
cbarfield@iselectrics.com,4,gas
cbayless@silis.com,1,gas
cbennick@blackzim.com,1,electric
cberlanga@groovestreet.com,3,gas
cberray@openlane.com,1,electric
cbevelacqua@codehow.com,2,gas
cbevelacqua@codehow.com,3,electric
cbiddy@j-texon.com,1,electric
cbirkner@hottechi.com,1,electric
cboord@finjob.com,2,electric
cboord@finjob.com,3,electric
cboord@toughzap.com,1,fuel oil
cboord@toughzap.com,2,electric
cboord@toughzap.com,3,gas
cboulter@condax.com,1,electric
cboulter@finhigh.com,3,electric
cbruschke@doncon.com,4,electric
cbuemi@streethex.com,1,electric
cbuemi@streethex.com,4,fuel oil
cbutzen@faxquote.com,3,electric
cbutzen@inity.com,3,electric
cbutzen@inity.com,4,gas
cbutzen@inity.com,6,electric
cbuvens@sumace.com,4,electric
cbuzick@fasehatice.com,2,electric
cbuzick@plussunin.com,3,fuel oil
ccaiafa@iselectrics.com,2,electric
ccaldarera@dalttechnology.com,3,electric
ccaldarera@iselectrics.com,3,gas
ccallaro@stanredtax.com,2,gas
ccalvaresi@rantouch.com,4,electric
ccalvaresi@rantouch.com,7,gas
ccampain@sonron.com,2,electric
ccandlish@nam-zim.com,1,fuel oil
ccandlish@nam-zim.com,3,electric
ccandlish@rangreen.com,1,electric
ccandlish@rangreen.com,3,electric
ccaudy@goodsilron.com,1,electric
ccetta@rundofase.com,1,gas
ccetta@rundofase.com,4,electric
ccetta@rundofase.com,6,electric
cchickering@plexzap.com,2,electric
cchui@ganjaflex.com,1,electric
cchui@ganjaflex.com,2,electric
cchui@ganjaflex.com,3,gas
cchui@scotfind.com,1,gas
ccolaizzo@scotfind.com,1,electric
ccolaizzo@warephase.com,2,gas
ccolaizzo@warephase.com,3,electric
ccolaizzo@warephase.com,4,electric
ccoody@singletechno.com,1,electric
ccoody@singletechno.com,3,fuel oil
ccorrio@zathunicon.com,3,gas
ccorrio@zathunicon.com,4,electric
ccorrio@zathunicon.com,5,electric
ccorrio@zathunicon.com,6,electric
ccoyier@lexiqvolax.com,2,electric
ccoyier@lexiqvolax.com,4,electric
ccoyier@plexzap.com,2,electric
ccoyier@plexzap.com,5,electric
ccoyier@plexzap.com,7,gas
ccrupi@golddex.com,1,electric
ccrupi@golddex.com,2,electric
ccrupi@inity.com,3,gas
cdallen@opentech.com,1,gas
cdallen@opentech.com,5,electric
cdallen@scotfind.com,2,electric
cdallen@singletechno.com,3,fuel oil
cdallen@singletechno.com,5,fuel oil
cdegonia@betatech.com,1,gas
cdegonia@zathunicon.com,1,electric
cdegroot@faxquote.com,3,electric
cdegroot@newex.com,3,fuel oil
cdelasancha@green-plus.com,2,gas
cdelasancha@green-plus.com,3,gas
cdelasancha@streethex.com,1,gas
cdelasancha@streethex.com,2,electric
cdelasancha@streethex.com,4,electric
cdeleo@zoomit.com,3,gas
cdemesa@ron-tech.com,1,electric
cdenooyer@bioholding.com,1,electric
cdevreese@streethex.com,2,fuel oil
cdickerson@singletechno.com,2,gas
cdilliard@blackzim.com,1,gas
cdinos@faxquote.com,2,electric
cdopico@scottech.com,1,electric
cdopico@scottech.com,2,electric
cduenas@newex.com,1,electric
cduenas@ontomedia.com,1,electric
cduenas@ontomedia.com,2,gas
cehmann@opentech.com,1,gas
cemigh@dalttechnology.com,1,electric
ceroman@plusstrip.com,1,gas
ceroman@plusstrip.com,3,electric
cfarrow@cancity.com,1,electric
cfarrow@scottech.com,2,electric
cferencz@golddex.com,1,electric
cferencz@golddex.com,2,electric
cferencz@golddex.com,3,electric
cfishburne@betasoloin.com,1,fuel oil
cfortino@mathtouch.com,2,electric
cfortino@mathtouch.com,3,gas
cfrankel@dambase.com,1,electric
cfrankel@dambase.com,3,electric
cfrankel@isdom.com,1,electric
cfrankel@isdom.com,3,gas
cfrankel@isdom.com,4,electric
cfrankel@isdom.com,5,electric
cfrerking@rantouch.com,4,gas
cfrey@ron-tech.com,1,electric
cfrey@ron-tech.com,5,electric
cfrey@ron-tech.com,7,electric
cgarufi@finjob.com,2,electric
cgehrett@betasoloin.com,1,electric
cgehrett@fasehatice.com,2,gas
cgehrett@isdom.com,1,electric
cgehrett@isdom.com,4,gas
cgellinger@treequote.com,1,electric
cgillian@ontomedia.com,4,fuel oil
cglick@rantouch.com,1,electric
cglick@rantouch.com,2,electric
cglick@rantouch.com,4,fuel oil
cglick@scotfind.com,1,fuel oil
cglick@scotfind.com,9,gas
cgochal@konex.com,2,electric
cgochal@sonron.com,1,gas
cgochal@sonron.com,2,electric
cgochal@sonron.com,3,electric
cgotter@blackzim.com,1,gas
cgreenbush@blackzim.com,2,electric
chagele@donquadtech.com,2,electric
chagele@donquadtech.com,4,fuel oil
chagele@y-corporation.com,1,electric
chalsey@dambase.com,1,electric
chalter@toughzap.com,3,electric
charoldson@condax.com,1,electric
charoldson@condax.com,6,gas
cheintzman@zumgoity.com,3,gas
chiatt@blackzim.com,1,electric
chiatt@blackzim.com,3,electric
chiatt@openlane.com,3,electric
chixenbaugh@dalttechnology.com,1,gas
chixenbaugh@dalttechnology.com,2,gas
choffis@opentech.com,1,gas
choffis@opentech.com,3,electric
chollack@plusstrip.com,1,gas
choneywell@dalttechnology.com,1,fuel oil
choneywell@dalttechnology.com,2,gas
choneywell@konex.com,3,electric
choneywell@opentech.com,1,electric
choneywell@opentech.com,5,electric
choneywell@opentech.com,6,gas
choogland@bioplex.com,1,electric
choogland@isdom.com,1,electric
chusser@bioholding.com,1,gas
chusser@dambase.com,1,fuel oil
chusser@dambase.com,3,electric
chusser@dambase.com,6,electric
citurbide@gogozoom.com,3,gas
citurbide@gogozoom.com,4,gas
citurbide@ontomedia.com,3,electric
cjuhas@zoomit.com,1,electric
cjuvera@donware.com,1,electric
ckannady@green-plus.com,1,electric
ckannady@green-plus.com,2,fuel oil
ckarpel@singletechno.com,3,electric
ckeneipp@sonron.com,1,gas
ckeneipp@sonron.com,2,electric
cketelsen@finhigh.com,1,electric
ckiel@betatech.com,1,gas
ckiel@toughzap.com,1,gas
ckines@bioholding.com,1,gas
ckippley@sonron.com,1,electric
ckippley@sonron.com,2,electric
cklang@zoomit.com,2,fuel oil
cklusman@donware.com,2,gas
cklusman@opentech.com,1,electric
cklusman@opentech.com,2,electric
cklusman@opentech.com,3,electric
