email,square_footage,household_type,thermostat_setting_heating,thermostat_setting_cooling,postal_code
agillaspie@finhigh.com,584,"mobile home",77,71,34112
agillian@ron-tech.com,1001,apartment,NULL,NULL,59106
agleich@doncon.com,349,"mobile home",78,69,55438
agleich@finjob.com,1334,house,NULL,74,38643
aglick@treequote.com,2147,apartment,NULL,73,46582
agobern@ontomedia.com,1577,condominium,NULL,71,23514
agochal@blackzim.com,259,"mobile home",69,74,81045
agochal@toughzap.com,928,apartment,67,NULL,21866
agood@xx-zobam.com,128,house,69,NULL,79960
agotter@isdom.com,2637,house,72,74,90280
agotter@statholdings.com,576,townhome,NULL,NULL,92843
agrenet@yearin.com,206,"mobile home",71,76,22902
agudroe@sunnamplex.com,69,house,77,72,27592
ahagele@dontechi.com,675,house,71,74,38333
ahalsey@faxquote.com,791,apartment,NULL,70,55965
ahalsey@plussunin.com,1348,house,NULL,72,01253
ahalter@sunnamplex.com,1604,house,72,75,12874
ahamilton@cancity.com,513,apartment,75,NULL,83302
aharabedian@inity.com,1916,house,68,NULL,30477
aharnos@bioholding.com,1182,townhome,74,74,52309
aharoldson@zumgoity.com,1429,house,72,72,70397
aheintzman@donquadtech.com,851,house,68,NULL,57552
aheintzman@donware.com,897,house,76,70,17931
ahengel@groovestreet.com,635,townhome,73,74,77720
ahochard@hottechi.com,1050,house,71,72,67674
ahochard@j-texon.com,1241,townhome,75,69,32058
ahoffis@kan-code.com,866,house,73,NULL,44510
ahollack@codehow.com,801,house,73,74,61106
ahoogland@zencorporation.com,1806,house,69,NULL,21817
ahoopengardner@iselectrics.com,834,apartment,NULL,NULL,15225
ahoopengardner@kan-code.com,2032,apartment,72,73,31993
ahoopengardner@zotware.com,1224,townhome,76,NULL,87575
ahoopengardner@zumgoity.com,1912,house,74,72,45740
ahusser@toughzap.com,937,apartment,73,75,58103
aisenhower@doncon.com,861,house,75,NULL,27910
aisenhower@warephase.com,799,apartment,NULL,72,88528
ajacobos@gogozoom.com,445,townhome,75,75,14204
ajacobos@kan-code.com,1524,house,76,71,78880
ajayson@newex.com,250,"mobile home",72,73,62543
ajeanty@gogozoom.com,745,apartment,75,NULL,61810
ajeanty@zoomit.com,1419,house,70,75,55051
ajillson@rantouch.com,459,townhome,73,69,92385
ajulia@zathunicon.com,849,apartment,68,71,30177
ajurney@silis.com,2017,apartment,75,72,91326
akampa@finhigh.com,66,condominium,70,73,13201
akampa@plusstrip.com,731,house,NULL,76,23879
akaniecki@zathunicon.com,1139,townhome,70,74,74016
akardas@green-plus.com,1123,condominium,NULL,NULL,98628
akardas@singletechno.com,548,house,71,75,28630
akarpin@faxquote.com,3693,house,69,71,48820
akarpin@singletechno.com,3350,house,71,72,30388
akeneipp@bioholding.com,947,apartment,NULL,75,26222
akeneipp@groovestreet.com,457,apartment,65,NULL,44179
aketelsen@ontomedia.com,780,apartment,NULL,74,44822
aketelsen@xx-holding.com,2671,house,NULL,73,93625
akiel@codehow.com,970,apartment,74,72,55785
akiel@scotfind.com,717,house,70,72,13061
akines@labdrill.com,1075,apartment,67,75,19472
akippley@stanredtax.com,797,apartment,73,73,16045
akitty@fasehatice.com,488,condominium,NULL,70,97842
akitty@zathunicon.com,1911,house,68,72,92118
akitzman@sonron.com,323,"mobile home",75,71,65779
aklang@newex.com,744,apartment,73,75,07474
aklimek@sonron.com,768,apartment,74,73,85244
aklonowski@donquadtech.com,864,apartment,75,73,83634
akohl@hottechi.com,1905,house,NULL,NULL,99549
akolmetz@kinnamplus.com,154,"mobile home",67,NULL,31908
akonopacki@golddex.com,628,house,75,NULL,92191
akoppinger@sunnamplex.com,777,house,72,70,50434
akorando@doncon.com,714,condominium,71,NULL,43523
akorando@finjob.com,1568,townhome,74,69,50120
akorando@goodsilron.com,138,apartment,69,72,26456
akownacki@green-plus.com,906,house,74,NULL,81247
akulzer@scotfind.com,1889,townhome,71,75,30087
alabreche@silis.com,36,apartment,71,NULL,45750
alace@xx-holding.com,1153,house,NULL,NULL,75092
alacovara@hatfan.com,1336,apartment,70,73,44106
alapage@ontomedia.com,1517,house,78,76,84723
alary@toughzap.com,2265,house,72,NULL,54737
alatzke@faxquote.com,1279,apartment,NULL,71,61610
alayous@dontechi.com,574,apartment,73,NULL,40283
alayous@statholdings.com,1022,apartment,NULL,NULL,75663
aleinenbach@green-plus.com,1348,apartment,NULL,70,19116
aleto@warephase.com,222,house,72,73,56561
alietz@j-texon.com,3437,house,77,NULL,20667
alindall@gogozoom.com,385,apartment,70,68,79702
aliukko@hatfan.com,1318,apartment,69,71,69027
aloader@scottech.com,737,house,74,72,50315
aloder@rundofase.com,424,"mobile home",73,74,10016
alother@doncon.com,444,"mobile home",75,72,12172
aluczki@konmatfix.com,309,"mobile home",78,69,73546
alungren@faxquote.com,583,apartment,75,76,44470
alungren@opentech.com,6092,house,72,NULL,16731
amaclead@ron-tech.com,74,condominium,NULL,NULL,98591
amai@warephase.com,1741,townhome,77,74,98801
amaillard@bioholding.com,867,apartment,76,71,94543
amaillard@plexzap.com,873,apartment,67,NULL,41760
amallett@plussunin.com,1323,townhome,68,NULL,96141
amarrier@hatfan.com,1630,house,75,73,11955
amarrier@zoomit.com,721,house,75,NULL,60053
amartabano@ron-tech.com,1995,house,67,71,78116
amatuszak@dalttechnology.com,1700,apartment,NULL,71,27315
amaybury@rundofase.com,1430,townhome,73,69,10161
amaynerich@bioholding.com,52,condominium,NULL,72,15779
amaynerich@treequote.com,1081,townhome,NULL,NULL,60176
amccullan@plexzap.com,1240,house,69,73,17243
amcdoniel@faxquote.com,831,apartment,69,76,14150
amcdoniel@kinnamplus.com,428,apartment,76,73,68226
amconnell@zumgoity.com,495,apartment,NULL,74,90261
amcrae@silis.com,101,townhome,71,75,43216
ameteer@betatech.com,807,condominium,NULL,72,51553
amiceli@funholding.com,1061,condominium,65,NULL,58740
amirafuentes@finhigh.com,2896,condominium,71,75,84513
amirafuentes@newex.com,1805,condominium,NULL,72,30668
amirafuentes@plexzap.com,202,"mobile home",77,71,69025
amiro@groovestreet.com,2932,townhome,72,NULL,98575
amodzelewski@yearin.com,1448,house,72,70,95386
amonarrez@funholding.com,736,house,67,73,71953
amonarrez@inity.com,879,apartment,73,70,54559
amonarrez@toughzap.com,1542,apartment,71,NULL,53585
amondella@funholding.com,994,"mobile home",66,NULL,25161
amondella@sumace.com,549,house,72,NULL,77336
amondella@zathunicon.com,1540,house,73,69,95385
amonterrubio@domzoom.com,219,"mobile home",71,73,38017
amonterrubio@dontechi.com,88,apartment,67,68,76210
amorasca@betatech.com,457,apartment,73,75,26714
amorocco@conecom.com,525,apartment,76,72,22408
amorocco@rantouch.com,773,apartment,NULL,71,33035
amoyd@betatech.com,1351,house,71,NULL,65672
amugnolo@j-texon.com,555,apartment,NULL,74,27626
amulqueen@silis.com,223,"mobile home",68,NULL,95032
amyricks@konmatfix.com,1157,house,NULL,NULL,66741
amyricks@sonron.com,1549,house,78,74,20111
anabours@bioholding.com,629,townhome,72,73,08854
anewville@newex.com,799,house,72,71,37857
anewville@sunnamplex.com,1072,house,72,NULL,07092
anewville@warephase.com,1160,house,73,NULL,89018
anicka@zotware.com,659,apartment,73,76,57188
anievas@hottechi.com,1371,townhome,73,72,23702
aogg@warephase.com,1006,house,68,74,72958
aoles@blackzim.com,428,"mobile home",NULL,75,46355
aonofrio@conecom.com,435,"mobile home",NULL,74,18651
aonofrio@yearin.com,628,house,66,75,24826
aostolaza@iselectrics.com,1074,apartment,66,73,60464
apadilla@iselectrics.com,547,apartment,72,NULL,37143
apagliuca@xx-zobam.com,1342,house,68,74,92051
apalaia@cancity.com,1852,house,70,NULL,37779
apalaia@hatfan.com,729,apartment,73,71,20138
aparlato@doncon.com,1613,townhome,73,NULL,70569
aparlato@groovestreet.com,215,"mobile home",74,72,37243
aparvis@blackzim.com,196,apartment,64,75,92283
aparvis@groovestreet.com,821,townhome,NULL,74,32956
apedrozo@silis.com,1409,apartment,73,NULL,93279
apelkowski@warephase.com,372,"mobile home",78,75,71452
aperez@sonron.com,901,condominium,73,70,72840
apoquette@faxquote.com,3477,house,73,69,47958
apoquette@goodsilron.com,2288,house,77,73,08057
apugh@lexiqvolax.com,342,"mobile home",73,NULL,33776
aradde@plussunin.com,1047,apartment,76,NULL,64109
aradde@scottech.com,572,house,76,71,78041
arantanen@golddex.com,798,apartment,NULL,73,91124
arantanen@singletechno.com,450,"mobile home",72,73,49919
arauser@fasehatice.com,2570,townhome,71,NULL,31569
araymo@funholding.com,1380,apartment,73,73,30161
araymo@rundofase.com,890,house,67,76,88268
araymo@statholdings.com,508,apartment,73,NULL,17885
aregusters@lexiqvolax.com,1441,house,75,NULL,57730
areiber@scottech.com,2815,townhome,77,NULL,27542
arestrepo@zumgoity.com,1463,house,70,74,45363
arhoden@zathunicon.com,1583,condominium,NULL,76,03057
arhym@plexzap.com,121,house,66,NULL,21045
ariden@hatfan.com,645,house,73,73,33166
ariopelle@mathtouch.com,1752,house,75,73,68325
arochin@toughzap.com,829,apartment,71,NULL,89434
arodefer@sumace.com,2328,apartment,71,NULL,22454
arodeigues@codehow.com,171,condominium,78,72,10309
arowling@stanredtax.com,810,apartment,NULL,73,08406
arulapaugh@labdrill.com,684,house,76,71,80932
arulapaugh@zoomit.com,2298,house,72,NULL,97394
aryser@groovestreet.com,566,house,72,71,15931
asama@zoomit.com,2188,house,72,NULL,75354
asaras@green-plus.com,1926,apartment,75,69,78294
asaulter@codehow.com,751,house,69,70,00794
asawchuk@hottechi.com,423,"mobile home",67,NULL,32596
asaylors@golddex.com,821,apartment,73,73,46777
asaylors@rantouch.com,1232,house,72,73,67626
asaylors@sunnamplex.com,1409,apartment,70,NULL,99786
asaylors@zumgoity.com,675,house,73,NULL,47716
ascheyer@ontomedia.com,1869,townhome,75,72,60653
ascheyer@ron-tech.com,2642,townhome,69,72,49665
aschieler@ron-tech.com,2467,house,67,71,18078
aschmaltz@scotfind.com,369,apartment,71,NULL,95563
aschmaltz@zencorporation.com,1459,house,75,NULL,74014
aschnitzler@fasehatice.com,903,apartment,67,NULL,78053
aschoeneck@finjob.com,1323,house,76,70,25988
aschoeneck@scottech.com,977,apartment,73,71,36052
ascriven@hatfan.com,570,"mobile home",NULL,71,66830
aseewald@conecom.com,2436,house,75,70,10590
aseewald@doncon.com,1320,house,65,73,76124
asengbusch@fasehatice.com,1878,townhome,NULL,70,47858
asergi@labdrill.com,1039,apartment,77,71,65251
asergi@stanredtax.com,2654,condominium,NULL,71,75169
ashadrick@zumgoity.com,147,"mobile home",73,73,38780
ashin@zoomit.com,39,apartment,69,73,34729
asilvestrini@plussunin.com,1330,house,71,NULL,92552
asilvestrini@sunnamplex.com,2060,house,68,74,14812
asimilton@dontechi.com,2172,house,NULL,73,46570
asimilton@plussunin.com,1871,house,71,NULL,20047
askulski@blackzim.com,1652,house,67,70,18932
askulski@ontomedia.com,367,apartment,71,73,19451
askursky@j-texon.com,857,apartment,NULL,72,02661
aslayton@year-job.com,131,apartment,70,73,03864
aslusarski@iselectrics.com,751,apartment,72,74,76233
aspickerman@labdrill.com,693,townhome,66,73,44735
aspickerman@year-job.com,1792,house,72,70,30187
astaback@kinnamplus.com,1590,townhome,76,69,49782
astem@toughzap.com,55,apartment,76,72,35580
astenseth@ontomedia.com,645,"mobile home",NULL,72,36371
astenseth@plusstrip.com,1807,condominium,NULL,75,68816
astenseth@stanredtax.com,1124,house,66,71,44690
astimmel@bioholding.com,1545,apartment,74,74,43722
astimmel@ganjaflex.com,144,apartment,76,68,65264
astoltzman@blackzim.com,86,apartment,74,75,67475
astoltzman@domzoom.com,753,condominium,66,71,87499
astoltzman@zotware.com,3772,house,74,NULL,70752
astorment@statholdings.com,805,house,67,69,22645
astrassner@faxquote.com,43,apartment,69,73,21679
asweigard@fasehatice.com,909,apartment,69,NULL,23225
ategarden@treequote.com,2454,house,76,73,28081
atheodorov@fasehatice.com,1922,condominium,NULL,NULL,15936
atoelkes@dontechi.com,987,house,78,NULL,40724
atolfree@plexzap.com,748,house,71,72,82190
atreston@condax.com,1294,house,71,73,82832
atromblay@j-texon.com,815,townhome,76,76,49916
atromblay@xx-holding.com,1393,house,NULL,71,20053
aturinetti@j-texon.com,1028,townhome,NULL,71,78738
aturinetti@scotfind.com,2226,apartment,70,72,57301
aupthegrove@fasehatice.com,704,townhome,67,NULL,21677
aupthegrove@hatfan.com,2658,house,76,NULL,30285
auyetake@sonron.com,529,apartment,71,76,30810
auyetake@toughzap.com,529,apartment,68,NULL,25901
avanausdal@streethex.com,1171,apartment,71,75,80161
avanheusen@cancity.com,95,apartment,69,74,27291
avanheusen@finjob.com,2383,condominium,73,69,50350
avenere@fasehatice.com,1189,townhome,75,73,74423
avizarro@bioholding.com,146,apartment,74,73,22720
avizarro@ganjaflex.com,174,"mobile home",76,NULL,42044
awardrip@golddex.com,641,townhome,73,NULL,03803
awaycott@ganjaflex.com,1606,condominium,73,73,74425
aweglarz@warephase.com,459,condominium,75,76,25927
aweight@cancity.com,1293,apartment,76,75,42565
aweirather@funholding.com,788,house,75,74,27361
awenner@bioplex.com,1321,townhome,73,76,98401
awhobrey@zathunicon.com,1391,house,NULL,70,07621
awiklund@gogozoom.com,1502,condominium,69,NULL,01770
awiklund@kan-code.com,414,apartment,73,71,53074
awildfong@faxquote.com,1253,house,64,74,47863
aworlds@ganjaflex.com,1425,house,NULL,74,86544
aworlds@plussunin.com,4834,house,74,NULL,05648
aworlds@stanredtax.com,2654,house,75,NULL,56563
awrinkles@statholdings.com,454,apartment,67,NULL,22663
azagen@plussunin.com,1175,apartment,NULL,74,19310
azane@zencorporation.com,935,apartment,NULL,70,13803
azepp@zencorporation.com,553,house,74,73,12220
azurcher@codehow.com,1955,house,NULL,75,18449
bacey@hottechi.com,523,house,71,72,91335
bacuff@groovestreet.com,1284,house,64,72,71935
bagramonte@zumgoity.com,1920,house,70,70,21903
bahle@golddex.com,2821,house,74,72,78623
bahle@stanredtax.com,1628,house,71,71,01526
balbares@hatfan.com,1006,townhome,75,72,54449
bangalich@xx-zobam.com,1598,house,71,NULL,99677
barias@silis.com,1025,condominium,76,73,68868
basar@fasehatice.com,2148,townhome,NULL,74,45211
bbachman@y-corporation.com,744,apartment,71,75,08825
bbayless@konex.com,828,apartment,72,71,48106
bbeech@scottech.com,1285,apartment,69,75,46012
bbenimadho@dalttechnology.com,1414,condominium,75,NULL,76449
bbenimadho@funholding.com,1214,apartment,69,71,95527
bberganza@streethex.com,499,"mobile home",73,68,85712
bbergesen@groovestreet.com,1009,condominium,69,73,76707
bbevelacqua@hottechi.com,566,apartment,64,73,94619
bbilden@domzoom.com,561,house,71,73,39359
bbirkner@warephase.com,78,apartment,NULL,71,23607
bblackwood@isdom.com,621,house,78,NULL,92316
bblackwood@rangreen.com,3254,apartment,71,NULL,07839
bboulter@dalttechnology.com,748,apartment,76,71,47729
bbowley@hatfan.com,1178,apartment,68,71,64058
bbreland@plusstrip.com,2146,house,66,NULL,54610
bbreland@zathunicon.com,722,house,69,74,57745
bbrossart@konex.com,1877,townhome,73,NULL,32187
bbrossart@toughzap.com,137,apartment,76,74,87010
bbruschke@cancity.com,971,house,NULL,74,26618
bbubash@cancity.com,998,apartment,67,72,44050
bbutt@bioholding.com,581,"mobile home",NULL,73,37148
bcalvaresi@codehow.com,625,townhome,66,71,74046
bcampain@gogozoom.com,690,house,76,NULL,60151
bcanlas@donware.com,1909,townhome,74,71,60014
bcanlas@green-plus.com,293,condominium,73,NULL,71202
bcantres@donware.com,2775,house,67,72,98859
bcentini@hottechi.com,3104,house,76,75,02295
bcetta@singletechno.com,1218,apartment,72,72,66830
bchaffins@hottechi.com,511,apartment,NULL,73,54407
bchavous@kinnamplus.com,766,apartment,77,NULL,49036
bchavous@statholdings.com,1173,apartment,71,73,31759
bchickering@scotfind.com,802,house,74,74,77290
bcloney@groovestreet.com,656,apartment,73,71,78658
bcolla@golddex.com,1220,house,75,NULL,56252
bcolla@mathtouch.com,2317,house,NULL,69,35463
bcorbley@singletechno.com,1323,townhome,73,75,28123
bcorrio@sunnamplex.com,1606,apartment,77,73,33233
bcousey@nam-zim.com,1853,apartment,NULL,NULL,34691
bcousey@statholdings.com,2122,house,NULL,74,37111
bcousey@treequote.com,1060,apartment,76,73,40037
bcoyier@labdrill.com,1168,apartment,75,70,02668
bdaufeldt@lexiqvolax.com,1705,townhome,74,NULL,47346
bdelasancha@warephase.com,1356,apartment,73,72,18462
bdeleo@scotfind.com,201,townhome,NULL,73,45620
bdevreese@streethex.com,696,townhome,67,73,24448
bdewar@fasehatice.com,976,apartment,70,74,49279
bdhamer@mathtouch.com,1136,house,73,75,77483
bdorshorst@plusstrip.com,888,apartment,65,74,10106
bdubaldi@lexiqvolax.com,440,apartment,70,74,48519
bdubaldi@newex.com,3853,apartment,68,72,97448
beanes@dontechi.com,660,house,73,70,04863
beanes@j-texon.com,279,"mobile home",74,69,68823
beanes@y-corporation.com,654,house,NULL,NULL,82428
bemigh@bioholding.com,362,apartment,73,69,38195
bennaco@dalttechnology.com,532,condominium,71,76,48862
beschberger@stanredtax.com,1286,apartment,71,72,85940
bestell@condax.com,421,apartment,77,71,01037
bfallick@funholding.com,1031,apartment,74,73,58068
bfallick@rangreen.com,46,"mobile home",73,NULL,03047
bfarrar@lexiqvolax.com,522,apartment,67,70,49812
bfarrow@gogozoom.com,1103,apartment,77,NULL,71742
bfeichtner@goodsilron.com,762,house,66,NULL,29666
bfelger@silis.com,1231,house,68,75,97490
bfelger@year-job.com,838,apartment,66,68,10527
bferencz@isdom.com,1563,house,67,76,77598
bfern@dalttechnology.com,1031,townhome,72,NULL,56116
bfishburne@donware.com,967,house,72,NULL,32725
bfortino@green-plus.com,1932,house,NULL,72,03838
bfrancescon@finhigh.com,630,house,76,73,45663
bfrancescon@toughzap.com,1477,townhome,72,68,47390
bfrancescon@yearin.com,1738,house,65,73,45389
bfrankel@sunnamplex.com,3063,condominium,66,74,92191
bfrankel@zencorporation.com,894,apartment,76,72,39045
bgiguere@bioholding.com,1121,apartment,77,NULL,91769
bgiguere@zencorporation.com,937,house,72,NULL,76049
bgillaspie@dambase.com,1070,apartment,69,NULL,11942
bglick@kinnamplus.com,1520,house,66,75,21503
bgochal@scotfind.com,4433,apartment,69,74,93423
bgochal@year-job.com,315,"mobile home",NULL,73,27349
bgood@green-plus.com,1086,house,76,73,87750
bgreenbush@cancity.com,791,apartment,65,72,68743
bhagele@funholding.com,665,condominium,68,72,38041
bhagele@opentech.com,232,house,72,70,74727
bhagele@plexzap.com,827,house,75,73,59460
bhalter@rangreen.com,1379,townhome,NULL,NULL,71933
bhalter@rundofase.com,584,apartment,NULL,NULL,16335
bharabedian@donquadtech.com,2248,house,72,74,46063
bheimann@zencorporation.com,1132,townhome,76,73,43510
bhengel@mathtouch.com,803,townhome,66,NULL,99829
bhiatt@ganjaflex.com,915,apartment,73,72,52215
bhirpara@openlane.com,703,condominium,76,73,37857
bhoneywell@gogozoom.com,2124,condominium,66,70,43158
bhoogland@finjob.com,1383,apartment,73,72,07040
bhoogland@lexiqvolax.com,452,condominium,74,73,99036
bhoogland@plussunin.com,706,condominium,73,NULL,67954
bhudnall@zoomit.com,1448,house,71,NULL,73092
bjuhas@hottechi.com,968,house,76,NULL,92410
bjulia@bioplex.com,289,"mobile home",76,71,98004
bjuvera@cancity.com,509,apartment,72,70,60679
bkalafatis@kinnamplus.com,698,apartment,NULL,NULL,01546
bkampa@betatech.com,1085,apartment,72,71,26332
bkampa@labdrill.com,407,"mobile home",67,72,30215
bkannady@yearin.com,199,"mobile home",73,72,32898
bkeener@donware.com,788,apartment,67,73,44270
bkeener@groovestreet.com,981,house,74,NULL,10987
bkeener@j-texon.com,1465,apartment,69,73,70076
bkiel@betatech.com,139,house,74,74,77423
bkiel@stanredtax.com,692,apartment,69,70,70740
bkippley@cancity.com,2653,house,67,74,57189
bkippley@codehow.com,407,apartment,75,69,17730
bkippley@groovestreet.com,993,apartment,70,74,59420
bkippley@labdrill.com,691,condominium,71,72,66776
bklonowski@nam-zim.com,731,house,72,NULL,66054
bknipp@sumace.com,457,apartment,73,72,53570
bkohl@yearin.com,1463,house,NULL,NULL,68304
bkoppinger@rangreen.com,1765,apartment,NULL,NULL,74369
bkownacki@zencorporation.com,1122,house,69,75,82703
blacovara@zathunicon.com,554,condominium,74,69,83642
blary@year-job.com,230,"mobile home",77,73,93483
blawler@plusstrip.com,529,condominium,66,75,75790
bleinenbach@dontechi.com,555,apartment,67,73,55349
blinahan@mathtouch.com,429,"mobile home",NULL,71,75141
blipke@donware.com,1743,house,69,75,21203
blipke@rundofase.com,2397,townhome,68,74,65530
blipkin@donware.com,1868,house,76,NULL,52765
blizama@zathunicon.com,859,apartment,67,74,65486
blother@j-texon.com,1455,house,75,73,45003
blouissant@blackzim.com,777,house,74,68,27927
blouissant@j-texon.com,507,apartment,70,74,17026
bluczki@domzoom.com,1310,house,76,72,88044
blueckenbach@finhigh.com,2612,house,71,73,80035
blueckenbach@treequote.com,984,apartment,75,74,91108
blungren@zotware.com,1318,house,68,NULL,18601
bmaclead@streethex.com,2679,house,76,73,50551
bmadarang@isdom.com,1323,house,76,74,55073
bmadarang@konmatfix.com,1205,apartment,75,75,58324
bmallett@konmatfix.com,137,condominium,67,NULL,52568
bmanno@domzoom.com,258,house,72,NULL,56715
bmartabano@fasehatice.com,680,apartment,NULL,73,47236
bmastella@kan-code.com,354,"mobile home",69,74,60567
bmaynerich@faxquote.com,668,apartment,76,73,97523
bmclaird@hatfan.com,1285,apartment,NULL,73,45682
bmcnease@cancity.com,2194,condominium,73,74,79097
bmcnease@silis.com,679,house,70,NULL,56369
