email,order_entered,energy_efficiency_ratio
agillaspie@finhigh.com,3,1.9
agillian@ron-tech.com,1,1.4
agillian@ron-tech.com,2,0.7
agleich@finjob.com,1,2.0
agleich@finjob.com,2,2.7
agleich@finjob.com,3,3.2
aglick@treequote.com,1,2.9
aglick@treequote.com,4,4.7
aglick@treequote.com,5,1.6
agobern@ontomedia.com,4,1.7
agochal@blackzim.com,2,0.6
agotter@isdom.com,1,2.5
agotter@statholdings.com,1,5.8
ahalsey@faxquote.com,1,2.3
ahalsey@faxquote.com,2,1.2
ahalsey@faxquote.com,3,10.0
ahalsey@plussunin.com,1,6.2
aharabedian@inity.com,1,8.8
aharnos@bioholding.com,2,4.3
aharoldson@zumgoity.com,1,2.8
aharoldson@zumgoity.com,2,2.4
aheintzman@donquadtech.com,1,7.3
ahoogland@zencorporation.com,6,2.8
ahoopengardner@kan-code.com,1,4.2
ahoopengardner@zotware.com,2,2.0
ahoopengardner@zumgoity.com,3,1.6
ahusser@toughzap.com,2,2.0
ahusser@toughzap.com,3,2.9
aisenhower@warephase.com,2,2.6
aisenhower@warephase.com,3,1.6
ajacobos@kan-code.com,1,2.4
ajeanty@gogozoom.com,1,2.2
ajeanty@gogozoom.com,2,3.9
ajillson@rantouch.com,1,5.8
ajulia@zathunicon.com,1,3.5
ajulia@zathunicon.com,2,1.0
ajulia@zathunicon.com,3,4.1
ajurney@silis.com,5,1.4
ajurney@silis.com,7,3.2
akardas@green-plus.com,2,2.3
akardas@singletechno.com,1,4.6
akarpin@faxquote.com,2,5.6
akarpin@faxquote.com,6,17.8
akarpin@singletechno.com,4,2.5
akarpin@singletechno.com,5,5.4
akarpin@singletechno.com,7,3.6
akeneipp@bioholding.com,3,2.2
aketelsen@ontomedia.com,1,1.7
aketelsen@ontomedia.com,2,1.4
aketelsen@xx-holding.com,2,6.3
aketelsen@xx-holding.com,3,1.8
aketelsen@xx-holding.com,5,2.1
aketelsen@xx-holding.com,6,3.1
akiel@codehow.com,2,5.2
akiel@scotfind.com,1,4.3
akines@labdrill.com,3,2.7
akippley@stanredtax.com,3,2.6
akitty@zathunicon.com,1,4.0
akitzman@sonron.com,2,0.3
akitzman@sonron.com,3,2.4
akitzman@sonron.com,4,0.8
aklang@newex.com,2,1.2
aklonowski@donquadtech.com,3,2.2
akohl@hottechi.com,4,6.0
akonopacki@golddex.com,1,1.8
akorando@doncon.com,3,1.3
akorando@finjob.com,1,4.1
akownacki@green-plus.com,1,8.5
akulzer@scotfind.com,2,2.0
akulzer@scotfind.com,3,4.0
alace@xx-holding.com,2,2.6
alacovara@hatfan.com,1,2.1
alapage@ontomedia.com,1,1.5
alapage@ontomedia.com,3,2.1
alary@toughzap.com,2,20.1
alary@toughzap.com,3,3.2
alietz@j-texon.com,6,5.8
alindall@gogozoom.com,1,4.5
aliukko@hatfan.com,2,3.6
aliukko@hatfan.com,4,3.8
aloader@scottech.com,1,3.4
aloder@rundofase.com,1,0.6
aloder@rundofase.com,2,0.9
alother@doncon.com,1,2.2
aluczki@konmatfix.com,1,0.5
alungren@opentech.com,2,2.1
alungren@opentech.com,4,2.7
alungren@opentech.com,6,5.5
alungren@opentech.com,8,4.2
alungren@opentech.com,9,4.0
alungren@opentech.com,10,7.0
amaillard@bioholding.com,3,1.5
amarrier@hatfan.com,3,4.4
amartabano@ron-tech.com,1,3.3
amatuszak@dalttechnology.com,1,1.6
amatuszak@dalttechnology.com,5,5.5
amatuszak@dalttechnology.com,6,2.1
amaybury@rundofase.com,2,1.4
amaybury@rundofase.com,4,4.7
amaynerich@treequote.com,1,1.7
amaynerich@treequote.com,2,6.2
amcdoniel@faxquote.com,1,1.0
amcdoniel@faxquote.com,3,2.5
amcdoniel@kinnamplus.com,1,7.6
amconnell@zumgoity.com,1,6.9
ameteer@betatech.com,1,0.9
ameteer@betatech.com,3,2.0
amiceli@funholding.com,1,1.4
amiceli@funholding.com,3,1.7
amirafuentes@finhigh.com,3,3.1
amirafuentes@finhigh.com,4,2.6
amirafuentes@finhigh.com,5,2.1
amirafuentes@newex.com,3,5.8
amiro@groovestreet.com,4,2.2
amiro@groovestreet.com,5,1.8
amiro@groovestreet.com,7,2.8
amodzelewski@yearin.com,3,3.2
amonarrez@inity.com,3,9.3
amonarrez@toughzap.com,3,8.8
amonarrez@toughzap.com,4,4.4
amondella@funholding.com,6,1.0
amondella@zathunicon.com,3,8.7
amonterrubio@domzoom.com,1,0.3
amonterrubio@domzoom.com,3,0.4
amoyd@betatech.com,1,3.6
amyricks@sonron.com,3,2.8
anabours@bioholding.com,1,4.0
anewville@sunnamplex.com,1,2.3
anicka@zotware.com,2,1.1
anievas@hottechi.com,2,4.7
aoles@blackzim.com,2,2.3
aostolaza@iselectrics.com,1,2.2
aostolaza@iselectrics.com,2,1.3
aostolaza@iselectrics.com,3,1.8
apagliuca@xx-zobam.com,3,3.5
apalaia@cancity.com,1,5.9
apalaia@cancity.com,3,6.3
apalaia@hatfan.com,2,0.9
apalaia@hatfan.com,3,2.2
apedrozo@silis.com,1,1.4
apelkowski@warephase.com,2,0.6
apoquette@faxquote.com,2,3.1
apoquette@goodsilron.com,2,4.5
apoquette@goodsilron.com,3,5.6
aradde@plussunin.com,2,1.1
arantanen@golddex.com,2,2.8
arantanen@singletechno.com,1,0.6
arauser@fasehatice.com,1,2.3
arauser@fasehatice.com,3,1.1
arauser@fasehatice.com,4,3.6
arauser@fasehatice.com,5,1.7
arauser@fasehatice.com,6,3.3
aregusters@lexiqvolax.com,2,2.8
areiber@scottech.com,3,1.4
areiber@scottech.com,4,1.6
arestrepo@zumgoity.com,3,5.1
arhoden@zathunicon.com,1,4.2
arhoden@zathunicon.com,2,2.6
ariopelle@mathtouch.com,1,6.6
ariopelle@mathtouch.com,2,3.2
ariopelle@mathtouch.com,3,3.2
arochin@toughzap.com,2,0.8
arodefer@sumace.com,1,4.9
arodefer@sumace.com,5,5.7
arodefer@sumace.com,6,4.4
asama@zoomit.com,1,22.2
asama@zoomit.com,3,2.5
asaras@green-plus.com,1,1.9
asaras@green-plus.com,4,8.4
asaulter@codehow.com,1,3.4
asawchuk@hottechi.com,1,0.5
asawchuk@hottechi.com,3,0.8
asaylors@golddex.com,2,5.3
asaylors@rantouch.com,1,4.7
asaylors@sunnamplex.com,1,10.0
ascheyer@ron-tech.com,1,1.7
ascheyer@ron-tech.com,2,3.4
aschieler@ron-tech.com,1,3.6
aschieler@ron-tech.com,5,1.9
aschmaltz@zencorporation.com,2,5.8
aschmaltz@zencorporation.com,3,2.1
aschnitzler@fasehatice.com,1,2.3
ascriven@hatfan.com,3,1.7
aseewald@conecom.com,1,1.8
aseewald@conecom.com,4,7.1
aseewald@doncon.com,1,1.5
aseewald@doncon.com,3,6.4
asengbusch@fasehatice.com,1,2.6
asengbusch@fasehatice.com,2,2.3
asergi@labdrill.com,2,5.1
asergi@stanredtax.com,6,2.1
ashadrick@zumgoity.com,1,4.9
asilvestrini@plussunin.com,3,6.6
asilvestrini@sunnamplex.com,1,2.1
asilvestrini@sunnamplex.com,2,1.1
asilvestrini@sunnamplex.com,4,2.6
asimilton@dontechi.com,1,2.8
asimilton@dontechi.com,4,10.3
asimilton@plussunin.com,1,3.3
asimilton@plussunin.com,2,7.3
asimilton@plussunin.com,4,2.3
askulski@blackzim.com,3,2.0
askulski@blackzim.com,4,1.5
askursky@j-texon.com,1,3.1
aslusarski@iselectrics.com,1,3.1
aslusarski@iselectrics.com,2,1.7
aslusarski@iselectrics.com,3,1.4
aspickerman@labdrill.com,1,5.2
aspickerman@year-job.com,2,3.2
astaback@kinnamplus.com,1,2.2
astaback@kinnamplus.com,3,4.5
astaback@kinnamplus.com,4,5.8
astenseth@ontomedia.com,2,3.2
astenseth@ontomedia.com,3,2.2
astenseth@plusstrip.com,1,1.5
astenseth@plusstrip.com,3,1.5
astenseth@plusstrip.com,4,2.9
astenseth@plusstrip.com,6,1.4
astenseth@stanredtax.com,2,4.2
astimmel@bioholding.com,2,6.1
astimmel@bioholding.com,3,5.0
astoltzman@zotware.com,1,1.3
astoltzman@zotware.com,2,12.8
astoltzman@zotware.com,4,3.7
astoltzman@zotware.com,6,1.8
astoltzman@zotware.com,7,9.1
asweigard@fasehatice.com,1,2.4
asweigard@fasehatice.com,2,3.2
ategarden@treequote.com,1,17.5
ategarden@treequote.com,4,2.2
atheodorov@fasehatice.com,2,8.7
atheodorov@fasehatice.com,3,1.8
atreston@condax.com,1,1.5
atreston@condax.com,3,4.0
atromblay@xx-holding.com,1,2.6
atromblay@xx-holding.com,2,1.7
aturinetti@j-texon.com,1,11.8
aturinetti@j-texon.com,2,1.8
aturinetti@j-texon.com,3,2.2
aturinetti@scotfind.com,4,4.0
aturinetti@scotfind.com,7,1.1
aupthegrove@hatfan.com,2,4.4
aupthegrove@hatfan.com,4,3.2
avanheusen@finjob.com,4,1.9
avanheusen@finjob.com,7,2.2
avenere@fasehatice.com,3,1.9
awardrip@golddex.com,1,3.3
awaycott@ganjaflex.com,4,1.7
aweight@cancity.com,3,5.6
aweight@cancity.com,4,4.9
awiklund@gogozoom.com,1,3.6
awiklund@gogozoom.com,2,1.9
aworlds@plussunin.com,1,11.3
aworlds@plussunin.com,4,2.3
aworlds@stanredtax.com,2,2.4
azagen@plussunin.com,1,1.4
azagen@plussunin.com,2,2.2
azane@zencorporation.com,2,4.0
azurcher@codehow.com,1,6.2
azurcher@codehow.com,4,1.8
bacey@hottechi.com,1,10.7
bacuff@groovestreet.com,3,6.7
bagramonte@zumgoity.com,2,2.4
bagramonte@zumgoity.com,4,4.4
bahle@stanredtax.com,2,14.6
balbares@hatfan.com,2,2.3
barias@silis.com,1,2.2
basar@fasehatice.com,1,4.1
basar@fasehatice.com,4,5.1
bbachman@y-corporation.com,3,1.3
bbayless@konex.com,3,2.4
bbeech@scottech.com,1,1.6
bbeech@scottech.com,4,2.3
bbeech@scottech.com,5,3.4
bbeech@scottech.com,6,2.5
bbenimadho@funholding.com,2,3.0
bbenimadho@funholding.com,3,1.2
bberganza@streethex.com,1,3.1
bberganza@streethex.com,2,0.6
bbevelacqua@hottechi.com,1,3.2
bblackwood@isdom.com,1,3.3
bblackwood@rangreen.com,8,1.6
bboulter@dalttechnology.com,1,3.4
bboulter@dalttechnology.com,2,1.6
bboulter@dalttechnology.com,3,7.0
bbreland@plusstrip.com,4,7.6
bbrossart@konex.com,1,1.1
bbrossart@konex.com,4,2.0
bbrossart@konex.com,5,2.1
bbruschke@cancity.com,1,4.3
bbruschke@cancity.com,2,1.4
bbubash@cancity.com,1,1.7
bbubash@cancity.com,2,2.4
bbutt@bioholding.com,1,1.4
bbutt@bioholding.com,3,2.4
bcanlas@donware.com,2,12.6
bcanlas@donware.com,4,2.7
bcantres@donware.com,2,6.0
bcentini@hottechi.com,3,2.7
bcentini@hottechi.com,4,3.5
bcentini@hottechi.com,6,2.3
bcetta@singletechno.com,2,1.7
bchavous@kinnamplus.com,2,2.1
bchavous@statholdings.com,2,1.0
bchavous@statholdings.com,3,1.0
bcloney@groovestreet.com,2,2.6
bcloney@groovestreet.com,3,6.4
bcolla@golddex.com,3,4.0
bcolla@mathtouch.com,1,14.1
bcolla@mathtouch.com,2,7.2
bcorbley@singletechno.com,3,11.5
bcorrio@sunnamplex.com,1,3.0
bcorrio@sunnamplex.com,3,2.7
bcousey@nam-zim.com,6,1.7
bcousey@statholdings.com,1,3.5
bcousey@statholdings.com,3,2.9
bcousey@statholdings.com,4,4.4
bcoyier@labdrill.com,1,2.2
bcoyier@labdrill.com,3,1.5
bdelasancha@warephase.com,2,1.1
bdelasancha@warephase.com,5,1.1
bdevreese@streethex.com,1,2.2
bdewar@fasehatice.com,2,3.9
bdorshorst@plusstrip.com,3,1.8
bdubaldi@lexiqvolax.com,1,12.2
bdubaldi@newex.com,1,1.0
bdubaldi@newex.com,2,3.9
bdubaldi@newex.com,4,9.9
bdubaldi@newex.com,5,1.0
bdubaldi@newex.com,7,2.0
bdubaldi@newex.com,9,11.9
bdubaldi@newex.com,10,1.7
beanes@dontechi.com,1,9.4
beanes@j-texon.com,1,0.4
beanes@y-corporation.com,1,3.4
bemigh@bioholding.com,1,2.7
beschberger@stanredtax.com,1,6.4
beschberger@stanredtax.com,4,1.9
bfarrar@lexiqvolax.com,1,2.6
bfarrow@gogozoom.com,2,1.7
bfeichtner@goodsilron.com,1,5.4
bfelger@silis.com,1,3.2
bfelger@year-job.com,1,1.0
bfelger@year-job.com,2,0.7
bfelger@year-job.com,3,6.3
bferencz@isdom.com,1,6.6
bferencz@isdom.com,2,6.8
bferencz@isdom.com,3,3.1
bfortino@green-plus.com,3,3.8
bfrancescon@yearin.com,3,5.7
bfrankel@sunnamplex.com,4,6.2
bfrankel@sunnamplex.com,5,2.8
bfrankel@zencorporation.com,1,1.6
bfrankel@zencorporation.com,3,9.5
bgillaspie@dambase.com,2,2.2
bgochal@scotfind.com,1,2.8
bgochal@scotfind.com,3,2.4
bgochal@scotfind.com,9,3.8
bgochal@scotfind.com,14,1.1
bgochal@year-job.com,2,0.9
bgreenbush@cancity.com,1,0.7
bgreenbush@cancity.com,2,2.0
bhalter@rangreen.com,2,1.8
bharabedian@donquadtech.com,1,3.8
bharabedian@donquadtech.com,2,4.0
bharabedian@donquadtech.com,4,4.8
bhiatt@ganjaflex.com,1,1.7
bhiatt@ganjaflex.com,4,0.7
bhoogland@finjob.com,4,1.6
bhoogland@lexiqvolax.com,1,9.9
bhudnall@zoomit.com,1,2.2
bhudnall@zoomit.com,2,2.6
bhudnall@zoomit.com,3,2.8
bjuhas@hottechi.com,3,1.4
bkalafatis@kinnamplus.com,1,1.0
bkalafatis@kinnamplus.com,3,4.2
bkampa@betatech.com,1,14.3
bkeener@donware.com,3,1.8
bkeener@j-texon.com,2,1.9
bkeener@j-texon.com,3,6.8
bkiel@stanredtax.com,1,4.6
bkippley@cancity.com,4,2.7
bkippley@codehow.com,1,2.3
bkippley@groovestreet.com,3,1.9
bklonowski@nam-zim.com,1,3.7
bknipp@sumace.com,1,2.3
bkownacki@zencorporation.com,1,6.3
blacovara@zathunicon.com,1,2.5
bleinenbach@dontechi.com,1,2.7
blinahan@mathtouch.com,1,0.6
blinahan@mathtouch.com,3,2.3
blipke@rundofase.com,1,4.2
blipke@rundofase.com,4,1.9
blipkin@donware.com,4,3.9
blouissant@j-texon.com,1,4.6
blueckenbach@finhigh.com,1,12.2
blueckenbach@finhigh.com,3,5.5
blueckenbach@finhigh.com,4,5.5
blueckenbach@finhigh.com,6,2.3
blueckenbach@treequote.com,1,1.2
blueckenbach@treequote.com,3,1.5
blungren@zotware.com,1,1.3
bmaclead@streethex.com,5,2.0
bmaclead@streethex.com,6,19.6
bmadarang@isdom.com,1,2.4
bmartabano@fasehatice.com,1,7.8
bmclaird@hatfan.com,1,2.7
bmclaird@hatfan.com,4,1.4
bmcnease@cancity.com,2,1.7
bmcnease@cancity.com,4,1.6
bmcnease@cancity.com,6,14.3
bmulqueen@dalttechnology.com,3,8.2
bmulqueen@dalttechnology.com,5,5.2
bmunns@newex.com,2,3.6
bmyricks@green-plus.com,3,1.9
bnestle@xx-holding.com,1,2.1
bnievas@iselectrics.com,3,1.6
bnievas@ontomedia.com,3,2.5
bnievas@ontomedia.com,6,2.8
bostrosky@codehow.com,3,2.6
bpadilla@zathunicon.com,1,1.3
bpadilla@zathunicon.com,2,15.6
bpedrozo@kan-code.com,1,4.1
bpedrozo@kan-code.com,3,2.1
bpoullion@bioholding.com,1,2.5
bpoullion@bioholding.com,2,1.9
bpugh@opentech.com,4,1.1
bpugh@opentech.com,5,1.2
bregusters@domzoom.com,1,1.5
brentfro@green-plus.com,1,1.8
brhymes@funholding.com,2,8.8
briden@opentech.com,1,9.6
briopelle@donquadtech.com,4,3.3
briopelle@donquadtech.com,6,9.8
bryser@zotware.com,3,4.9
bsaras@golddex.com,3,2.2
bsarbacher@mathtouch.com,1,1.4
bsarbacher@newex.com,1,3.6
bsarbacher@newex.com,4,1.6
bsayaphon@sunnamplex.com,3,2.0
bschirpke@donware.com,3,6.5
bschirpke@goodsilron.com,3,5.0
bscipione@silis.com,3,4.0
bsergi@dontechi.com,1,1.4
bsergi@dontechi.com,2,2.3
bsergi@dontechi.com,3,1.1
bshadrick@lexiqvolax.com,2,1.5
bshadrick@lexiqvolax.com,3,7.5
bshields@yearin.com,2,3.0
bshields@yearin.com,3,5.5
bshields@yearin.com,4,1.7
bsilvestrini@cancity.com,1,20.2
bsimilton@opentech.com,2,0.6
bsimilton@opentech.com,9,0.8
bskulski@kinnamplus.com,1,1.8
bskulski@kinnamplus.com,2,1.2
bskulski@kinnamplus.com,7,2.7
bskursky@ron-tech.com,1,12.3
bspringe@betatech.com,1,2.2
bsteffensmeier@y-corporation.com,1,0.6
bstoltzman@green-plus.com,5,7.2
bsuell@inity.com,1,3.6
bsuell@inity.com,2,4.5
bsuffield@finjob.com,3,1.6
bsyrop@domzoom.com,5,2.1
bsyrop@domzoom.com,6,2.7
btollner@streethex.com,1,1.1
btollner@streethex.com,2,3.0
btollner@streethex.com,3,3.9
btollner@streethex.com,4,0.9
btollner@streethex.com,6,0.8
btomasulo@green-plus.com,1,3.8
btomasulo@green-plus.com,2,1.3
btomasulo@green-plus.com,3,0.9
btomasulo@green-plus.com,6,2.6
btreston@ron-tech.com,1,6.5
btromblay@funholding.com,1,7.2
btromblay@funholding.com,3,2.8
bturinetti@zathunicon.com,3,1.8
bturinetti@zathunicon.com,6,2.2
bvarriano@codehow.com,1,2.3
bvarriano@codehow.com,3,1.7
bvillanueva@funholding.com,3,2.5
bvinning@hottechi.com,2,3.0
bwalthall@statholdings.com,1,9.8
bweight@zoomit.com,2,6.3
bweirather@ganjaflex.com,1,4.9
bwenzinger@ontomedia.com,4,2.3
bwieser@nam-zim.com,1,1.3
bwieser@nam-zim.com,5,1.7
bwieser@nam-zim.com,7,2.8
bwildfong@xx-zobam.com,2,8.8
bwildfong@xx-zobam.com,6,4.7
bwitten@green-plus.com,3,3.2
bwitten@green-plus.com,4,3.7
byaw@xx-holding.com,2,1.3
byaw@xx-holding.com,3,2.0
byum@finhigh.com,3,3.6
bzagen@dambase.com,1,0.6
cacey@sonron.com,1,7.0
cacuff@codehow.com,2,2.1
cacuff@codehow.com,3,2.3
cacuff@codehow.com,6,9.5
cahle@newex.com,1,4.5
calbares@rantouch.com,2,1.5
calbares@zencorporation.com,3,0.6
camigon@lexiqvolax.com,3,2.5
camigon@plexzap.com,1,4.1
candreason@streethex.com,3,2.3
cangalich@codehow.com,2,1.8
cangalich@lexiqvolax.com,1,3.4
cangalich@xx-zobam.com,3,2.6
cangalich@xx-zobam.com,4,3.2
carceo@codehow.com,1,2.2
cauffrey@hottechi.com,2,2.0
cauffrey@hottechi.com,3,1.6
cbarfield@fasehatice.com,1,2.5
cbarfield@fasehatice.com,2,2.8
cbarfield@fasehatice.com,4,6.2
cbarfield@iselectrics.com,1,1.6
cbatman@green-plus.com,3,1.7
cbayless@silis.com,2,6.2
cbeech@zencorporation.com,1,1.5
cbeech@zencorporation.com,3,2.1
cberganza@zathunicon.com,2,1.8
cbergesen@ron-tech.com,1,2.4
cbevelacqua@codehow.com,2,3.5
cbirkner@hottechi.com,1,2.5
cbirkner@hottechi.com,2,1.7
cblackwood@ontomedia.com,2,2.9
cboord@finjob.com,1,2.7
cboord@finjob.com,4,3.4
cboord@toughzap.com,1,1.9
cboord@toughzap.com,4,2.1
cboulter@condax.com,1,4.7
cboulter@finhigh.com,1,2.6
cboulter@finhigh.com,2,4.6
cbruschke@doncon.com,1,2.4
cbruschke@ontomedia.com,1,2.0
cburnard@year-job.com,1,19.7
cbutzen@inity.com,2,2.5
cbutzen@inity.com,5,1.7
cbuvens@sumace.com,2,4.1
cbuvens@sumace.com,3,3.4
cbuzick@fasehatice.com,1,1.5
cbuzick@fasehatice.com,2,1.0
ccaiafa@iselectrics.com,1,2.3
ccaldarera@dalttechnology.com,1,2.8
ccaldarera@dalttechnology.com,2,0.9
ccallaro@stanredtax.com,1,2.6
ccallaro@stanredtax.com,2,9.0
ccallaro@stanredtax.com,3,1.6
ccalvaresi@rantouch.com,2,5.8
ccampain@sonron.com,2,2.1
ccampain@sonron.com,3,1.2
ccandlish@nam-zim.com,2,5.8
ccastros@ron-tech.com,2,3.4
ccetta@rundofase.com,2,1.7
ccetta@rundofase.com,5,1.4
ccetta@rundofase.com,6,10.7
cchaffins@ganjaflex.com,1,0.8
cchickering@plexzap.com,1,4.6
cchickering@rantouch.com,1,6.2
cchickering@rantouch.com,2,4.3
cchui@ganjaflex.com,1,5.0
ccolaizzo@scotfind.com,3,2.1
ccolaizzo@scotfind.com,4,1.8
ccolaizzo@warephase.com,1,1.4
ccolaizzo@warephase.com,4,9.0
ccoody@singletechno.com,3,3.4
ccoyier@plexzap.com,4,1.6
ccrupi@golddex.com,4,1.7
ccryer@betasoloin.com,1,2.5
ccryer@betasoloin.com,2,1.4
ccryer@betasoloin.com,3,4.8
cdallen@opentech.com,5,1.1
cdallen@opentech.com,7,0.4
cdallen@scotfind.com,2,4.4
cdallen@scotfind.com,3,3.8
cdallen@singletechno.com,4,1.1
cdallen@singletechno.com,5,2.4
cdallen@singletechno.com,9,1.8
cdaufeldt@scotfind.com,4,2.9
cdegonia@betatech.com,2,1.1
cdegroot@faxquote.com,1,5.2
cdegroot@faxquote.com,2,3.2
cdegroot@newex.com,1,5.7
cdegroot@newex.com,4,2.8
cdegroot@newex.com,5,2.3
cdelasancha@betasoloin.com,1,2.3
cdelasancha@green-plus.com,2,10.4
cdelasancha@streethex.com,3,0.9
cdelasancha@streethex.com,4,2.4
cdelasancha@streethex.com,5,1.0
cdeleo@zoomit.com,2,2.7
cdemesa@ron-tech.com,3,11.7
cdenooyer@bioholding.com,1,3.8
cdevreese@streethex.com,1,1.7
cdevreese@toughzap.com,1,8.6
cdickerson@singletechno.com,2,3.8
cdickerson@singletechno.com,4,3.0
cdickerson@singletechno.com,9,3.7
cdilliard@blackzim.com,2,1.5
cdilliard@blackzim.com,3,6.9
cdilliard@blackzim.com,4,1.4
cdilliard@blackzim.com,6,1.4
cdinos@donquadtech.com,1,4.9
cdinos@faxquote.com,1,3.8
cdinos@nam-zim.com,1,3.1
cdiscipio@y-corporation.com,1,2.4
cdopico@isdom.com,1,1.4
cdopico@isdom.com,3,1.3
cdubaldi@donquadtech.com,1,10.7
cduenas@ontomedia.com,1,3.2
cehmann@opentech.com,2,7.6
cehmann@opentech.com,3,3.1
ceroman@plusstrip.com,1,4.6
ceschberger@zumgoity.com,1,8.8
cfarrow@cancity.com,3,2.7
cflosi@stanredtax.com,1,8.9
cfrankel@dambase.com,2,5.2
cfrankel@isdom.com,5,1.4
cfrey@ron-tech.com,3,3.1
cfrey@ron-tech.com,6,1.2
cfrey@zoomit.com,1,14.5
cgarufi@finjob.com,3,2.6
cgehrett@betasoloin.com,1,0.8
cgehrett@fasehatice.com,1,5.5
cgehrett@isdom.com,1,4.4
